Name,Source,Page,Prerequisites,Ability Scores,Repeatable,Description,5etools Link
Fey Teleportation,XGE,74,Elf (high),,No,"Your study of high elven lore has unlocked fey power that few other elves possess, except your eladrin cousins.
Drawing on your fey ancestry, you can momentarily stride through the Feywild to shorten your path from one place to another.
You gain the following benefits:Increase your Intelligence or Charisma by 1, to a maximum of 20.You learn to speak, read, and write Sylvan.You learn the misty step spell and can cast it once without expending a spell slot.
You regain the ability to cast it in this way when you finish a short or long rest.
Intelligence is your spellcasting ability for this spell.",https://5e.tools/feats.html#fey%20teleportation_xge
Fey Touched,TCE,79,,,No,"Your exposure to the Feywild's magic has changed you, granting you the following benefits:Increase your Intelligence, Wisdom, or Charisma by 1, to a maximum of 20.You learn the misty step spell and one 1st-level spell of your choice.
The 1st-level spell must be from the divination or enchantment school of magic.
You can cast each of these spells without expending a spell slot.
Once you cast either of these spells in this way, you can't cast that spell in this way again until you finish a long rest.
You can also cast these spells using spell slots you have of the appropriate level.
The spells' spellcasting ability is the ability increased by this feat.",https://5e.tools/feats.html#fey%20touched_tce
Field Medic,HumblewoodTales,171,,,No,"You have been specially trained in magical triage and are able to identify the signs of shock and fatigue in those suffering from injuries.
You are always ready to provide aid to those in need.
You gain the following benefits:You can tell by looking at a creature if it is missing any of its hit points and whether or not it has more than half of its hit points.
You also have advantage on Wisdom (Medicine) or Intelligence (Arcana or Religion) checks made to determine if the creature is cursed, diseased, possessed, or afflicted by any of the following conditions:
blinded, deafened, exhaustion, incapacitated, paralyzed, or poisoned.You learn the spare the dying cantrip and can cast it as a bonus action.You gain the ability to cast the spell cure wounds without using a spell slot, up to a number of times equal to half your proficiency bonus.
You regain all expended uses when you finish a long rest.
Wisdom is your spellcasting ability for this spell.",https://5e.tools/feats.html#field%20medic_humblewoodtales
Fierce Shot,TLotRR,82,,,No,"The Black Arrow that brought down Smaug the Dragon may have been fated to do so, but the hand that sent it flying so fiercely was exceedingly strong.
When you throw a spear or bend your bow, you make sure that your grip is steady and your aim true.Increase your Strength or Dexterity by 1, to a maximum of 20.When making an attack with a ranged weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls.
You must use the same modifier for both rolls.If you move no more than half your speed on the same turn and you hit a creature with a ranged weapon attack, you can use a bonus action to cause the attack to deal 1d4 extra damage of the weapon's type.",https://5e.tools/feats.html#fierce%20shot_tlotrr
Fighting Initiate,TCE,80,Proficiency with a martial weapon,,No,"Your martial training has helped you develop a particular style of fighting.
As a result, you learn one Fighting Style option of your choice from the fighter class.
If you already have a style, the one you choose must be different.Whenever you reach a level that grants the Ability Score Improvement feature, you can replace this feat's fighting style with another one from the fighter class that you don't have.",https://5e.tools/feats.html#fighting%20initiate_tce
Fighting Style,TLotRR,68,,,No,"You can choose a fighting style option from the Champion's Fighting Style feature.
As normal, you cannot take a Fighting Style option more than once.",https://5e.tools/feats.html#fighting%20style_tlotrr
Flames of Phlegethos,XGE,74,Tiefling,,No,"You learn to call on hellfire to serve your commands.
You gain the following benefits:Increase your Intelligence or Charisma by 1, to a maximum of 20.When you roll fire damage for a spell you cast, you can reroll any roll of 1 on the fire damage dice, but you must use the new roll, even if it is another 1.Whenever you cast a spell that deals fire damage, you can cause flames to wreathe you until the end of your next turn.
The flames don't harm you or your possessions, and they shed bright light out to 30 feet and dim light for an additional 30 feet.
While the flames are present, any creature within 5 feet of you that hits you with a melee attack takes 1d4 fire damage.",https://5e.tools/feats.html#flames%20of%20phlegethos_xge
Flamewoken,HumblewoodTales,172,,,No,"Living in the Scorched Grove or other areas touched by elemental fire can sometimes cause strange abilities to manifest among their inhabitants.
Known as ""flamewoken"" by the Tenders, these gifted few have the ability to communicate with fire-aspected creatures and have power over flames.
Tenders guide the flamewoken in honing their talents in service of nature and many flamewoken choose to join the order.
However, those outside the order usually keep their abilities hidden, as such powers are often seen as a curse.
You gain the following benefits:You can speak, read, and write Ignan.You learn the produce flame cantrip.
Charisma is your spellcasting ability for this spell.As a bonus action, you can strengthen the power of your flames.
The next time you deal fire damage to one or more creatures before the end of your next turn, you can deal an additional 2d10 fire damage to one of those creatures.
Once you use this feature, you can't use it again until you complete a short or long rest.You can whisper magical words in Ignan toward any nonmagical flames you can see within 30 feet of you that could fit within a 5-foot cube.
As a bonus action, you can cause these flames to either grow by 5 feet in a single direction, provided there is fuel of some sort present in the new location, or you can extinguish the flames present in this space.",https://5e.tools/feats.html#flamewoken_humblewoodtales
Forager,ObojimaTallGrass,162,,,No,"You've spent countless hours exploring the island searching for ingredients.
You gain the following benefits:Increase your Wisdom score by 1, to a maximum of 20.You gain proficiency in the Survival skill.
If you already have this proficiency, you instead gain expertise with that skill, which means your proficiency bonus is doubled for any ability check you make using it.You produce twice the number of common or uncommon ingredients when foraging.",https://5e.tools/feats.html#forager_obojimatallgrass
Foresight of their Kindred,TLotRR,90,,,No,"The Rangers of the North still possess a measure of the foresight that their ancestors possessed in full.
In the Twilight of the Third Age, this gift manifests as a sense of watchfulness, and of fear, arising to warn a Ranger of a danger that has not yet come to pass.Increase your Wisdom score by 1, to a maximum of 20.You have a number of foresight points equal to your Wisdom modifier (minimum 1).
Whenever you or a creature that you can see make an ability check, attack roll, or saving throw, you can spend one foresight point to reroll the d20 and must use the new roll.
You can choose to spend one of your foresight points after the roll, but before the outcome is determined.
You can also spend one foresight point after a roll on the Journey Events table.
Roll a d20, and then choose whether the Loremaster uses their roll or yours.
You regain your expended foresight points when you finish a long rest.",https://5e.tools/feats.html#foresight%20of%20their%20kindred_tlotrr
Forest Sage,HumblewoodTales,172,Druid or Wizard,,No,"The Tenders value diversity among ideas, and although they began as a purely druidic order, they have since learned to accept many different ways of thinking about the natural world, especially regarding the application of magic.
You are either a wizard who has learned to temper your arcane research with an eye to maintaining the delicate balance of natural forces, or you are a druid who has learned a new understanding of natural magic through study and experimentation.
You gain the following benefits:Increase your Intelligence or Wisdom by 1, to a maximum of 20.You can use your choice of Intelligence or Wisdom to make Animal Handling, Arcana, Nature, or Survival checks.You can choose to learn two spells from either the druid or wizard spell list.
Spells you choose must be of a level you can cast.
The chosen spells count as spells of your class and are added to your spellbook if you are a wizard or your spells known if you are a druid.",https://5e.tools/feats.html#forest%20sage_humblewoodtales
Freediver,ObojimaTallGrass,163,,,No,"You have undergone extensive underwater training.
You gain the following benefits:Increase your Constitution score by 1, to a maximum of 20.You gain a swimming speed equal to twice your Constitution score (rounded up to the nearest 5 feet).
If you already have a swimming speed, it instead increases by 10 feet.You triple your Constitution modifier when calculating how long you can hold your breath.You gain resistance to cold damage.",https://5e.tools/feats.html#freediver_obojimatallgrass
Friendly and Familiar,TLotRR,89,,,No,"Since you started your adventures, you have realised that your folk's custom of trading with foreigners may help you in your endeavours.
Your nice manners and friendly demeanour easily gain the sympathies of those you meet, and your ability to inquire about the doings of strangers without letting curiosity get the better of you provides you with many opportunities to learn from those you meet along the way.Increase your Charisma score by 1, to a maximum of 20.Increase the Fellowship rating of your Company by 1.Your proficiency bonus is doubled for any Wisdom (Insight) check you make.
In addition, you have advantage on the first Charisma (Persuasion) check you make when interacting with Dwarves, Elves, Hobbits, and Men (other than the Dúnedain).",https://5e.tools/feats.html#friendly%20and%20familiar_tlotrr
Fury of the Frost Giant,BGG,17,"4th level, strike of the giants (frost strike)",,No,"You've manifested the icy might emblematic of frost giants, granting you the following benefits:Ability Score Increase.
Increase your Strength, Constitution, or Wisdom by 1, to a maximum of 20.Born of Ice.
You have resistance to cold damage.Frigid Retaliation.
Immediately after a creature you can see within 30 feet of you hits you with an attack roll and deals damage, you can use your reaction to retaliate with a conjured blast of ice.
The creature must make a Constitution saving throw (DC equals 8 + your proficiency bonus + the modifier of the ability increased by this feat).
On a failed save, the creature takes cold damage equal to 1d8 + your proficiency bonus, and its speed is reduced to 0 until the end of its next turn.
You can use this reaction a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.",https://5e.tools/feats.html#fury%20of%20the%20frost%20giant_bgg
Gift of the Chromatic Dragon,FTD,17,,,No,"You've manifested some of the power of chromatic dragons, granting you the following benefits:Chromatic Infusion.
As a bonus action, you can touch a simple or martial weapon and infuse it with one of the following damage types:
acid, cold, fire, lightning, or poison.
For the next minute, the weapon deals an extra 1d4 damage of the chosen type when it hits.
After you use this bonus action, you can't do so again until you finish a long rest.Reactive Resistance.
When you take acid, cold, fire, lightning, or poison damage, you can use your reaction to give yourself resistance to that instance of damage.
You can use this reaction a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.",https://5e.tools/feats.html#gift%20of%20the%20chromatic%20dragon_ftd
Gift of the Gem Dragon,FTD,17,,,No,"You've manifested some of the power of gem dragons, granting you the following benefits:Ability Score Increase.
Increase your Intelligence, Wisdom, or Charisma by 1, to a maximum of 20.Telekinetic Reprisal.
When you take damage from a creature that is within 10 feet of you, you can use your reaction to emanate telekinetic energy.
The creature that dealt damage to you must make a Strength saving throw (DC equals 8 + your proficiency bonus + the ability modifier of the score increased by this feat).
On a failed save, the creature takes 2d8 force damage and is pushed up to 10 feet away from you.
On a successful save, the creature takes half as much damage and isn't pushed.
You can use this reaction a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.",https://5e.tools/feats.html#gift%20of%20the%20gem%20dragon_ftd
Gift of the Metallic Dragon,FTD,17,,,No,"You've manifested some of the power of metallic dragons, granting you the following benefits:Draconic Healing.
You learn the cure wounds spell.
You can cast this spell without expending a spell slot.
Once you cast this spell in this way, you can't do so again until you finish a long rest.
You can also cast this spell using spell slots you have.
The spell's spellcasting ability is Intelligence, Wisdom, or Charisma when you cast it with this feat (choose when you gain the feat).Protective Wings.
You can manifest protective wings that can shield you or others.
When you or another creature you can see within 5 feet of you is hit by an attack roll, you can use your reaction to manifest spectral wings from your back for a moment.
You grant a bonus to the target's AC equal to your proficiency bonus against that attack roll, potentially causing it to miss.
You can use this reaction a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.",https://5e.tools/feats.html#gift%20of%20the%20metallic%20dragon_ftd
Gleam of Wrath,TLotRR,86,,,No,"Your folk have seen many defeats, and many fruitless victories in their wars against the Shadow.
The deadly rage that your kindred harbour for the Enemy infuses your weapons with a gleam of chill flame.Increase your Strength or Dexterity by 1, to a maximum of 20.As a bonus action, you can make a melee weapon that you are wielding emit dim light in a radius equal to its reach until the start of your next turn.
The light is sunlight.
While the weapon gleams, it also deals radiant damage instead of its normal type.When you score a critical hit with a weapon attack, you can roll one of the weapon's damage dice one additional time and add it as extra radiant damage.",https://5e.tools/feats.html#gleam%20of%20wrath_tlotrr
Grappler,PHB,167,Strength 13 or higher,,No,"You've developed the skills necessary to hold your own in close-quarters grappling.
You gain the following benefits:You have advantage on attack rolls against a creature you are grappling.You can use your action to try to pin a creature grappled by you.
To do so, make another grapple check.
If you succeed, you and the creature are both restrained until the grapple ends.",https://5e.tools/feats.html#grappler_phb
Great Weapon Master,PHB,167,,,No,"You've learned to put the weight of a weapon to your advantage, letting its momentum empower your strikes.
You gain the following benefits:On your turn, when you score a critical hit with a melee weapon or reduce a creature to 0 hit points with one, you can make one melee weapon attack as a bonus action.Before you make a melee attack with a heavy weapon that you are proficient with, you can choose to take a -5 penalty to the attack roll.
If the attack hits, you add +10 to the attack's damage.",https://5e.tools/feats.html#great%20weapon%20master_phb
Group Combatant,ObojimaTallGrass,163,,,No,"You've honed your fighting skills and are just as comfortable fighting a group of enemies as you are facing a combatant one on one.
You gain the following benefits:Bludgeoning, piercing, and slashing damage that you take from nonmagical attacks is reduced by 2, to a minimum of 1.Creatures don't gain advantage on attacks made against you using the optional flanking rules.After you provoke an opportunity attack on your turn, your movement doesn't provoke opportunity attacks for the rest of the turn.",https://5e.tools/feats.html#group%20combatant_obojimatallgrass
Guile of the Cloud Giant,BGG,18,"4th level, strike of the giants (cloud strike)",,No,"You've manifested the confounding magic emblematic of cloud giants, granting you the following benefits:Ability Score Increase.
Increase your Strength, Constitution, or Charisma by 1, to a maximum of 20.Cloudy Escape.
When a creature you can see hits you with an attack roll, you can use your reaction to give yourself resistance to that attack's damage.
You then teleport to an unoccupied space that you can see within 30 feet of yourself.
You can use this reaction a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.",https://5e.tools/feats.html#guile%20of%20the%20cloud%20giant_bgg
Gunner,TCE,80,,,No,"You have a quick hand and keen eye when employing firearms, granting you the following benefits:Increase your Dexterity score by 1, to a maximum of 20.You gain proficiency with firearms (see ""Firearms"" in the Dungeon Master's Guide).You ignore the loading property of firearms.Being within 5 feet of a hostile creature doesn't impose disadvantage on your ranged attack rolls.",https://5e.tools/feats.html#gunner_tce
Hand-Craft,TLotRR,64,,,No,"This craft is not meant to cover the whole range of abilities of smiths, wrights, and other artisans, but reflects a talent for making things with superior skill and cunning.
During a Fellowship Phase, you can spend a craft slot and choose a non-magical item in your possession.
You must be proficient with the tools related to the item you choose, and you might also need access to special materials or locations, such as a forge.
If a feature lets you add double your proficiency bonus with a tool, you can select two item related to that tool instead of one.
Then, choose one of the following options for each item:If it's a suit of armour or a shield, it is upgraded with a reward (see Chapter 4).
When you reach 5th level, a creature also gains a +1 bonus to Armour Class while wearing or holding it.If it's a weapon, it is upgraded with a reward.
If you can obtain a magical success with the tools used, the weapon can also become magical.
When you reach 5th level, a creature also gains a +1 bonus to attack and damage rolls made with it.If it's any other item, choose a skill somehow related to the item, for example Stealth if the item is a cloak, or Athletics if the item is a pair of boots.
A creature holding or wearing the item gains a Blessing die (see Chapter 7) on ability checks using that skill.
If you can obtain a magical success with the tools used, the item can instead become a Marvellous Artefact with a blessing affecting the chosen skill (see Chapter 7).Each of the above options can only be chosen once for each item, and you cannot regain a craft slot expended in this way until the next Fellowship Phase, when you can withdraw the bonuses granted by that slot and regain the slot, if you wish.",https://5e.tools/feats.html#hand-craft_tlotrr
Hardiness,TLotRR,80,,,No,"Your determination and stamina have improved through hardship and toil.Increase your Constitution score by 1, to a maximum of 20.Your hit point maximum increases by an amount equal to your level when you gain this virtue.
Whenever you gain a level thereafter, your hit point maximum increases by an additional hit point.",https://5e.tools/feats.html#hardiness_tlotrr
Healer,PHB,167,,,No,"You are an able physician, allowing you to mend wounds quickly and get your allies back in the fight.
You gain the following benefits:When you use a healer's kit to stabilize a dying creature, that creature also regains 1 hit point.As an action, you can spend one use of a healer's kit to tend to a creature and restore 1d6 + 4 hit points to it, plus additional hit points equal to the creature's maximum number of Hit Dice.
The creature can't regain hit points from this feat again until it finishes a short or long rest.",https://5e.tools/feats.html#healer_phb
Heavily Armored,PHB,167,Proficiency with medium armor,,No,"You have trained to master the use of heavy armor, gaining the following benefits:Increase your Strength score by 1, to a maximum of 20.You gain proficiency with heavy armor.",https://5e.tools/feats.html#heavily%20armored_phb
Heavy Armor Master,PHB,167,Proficiency with heavy armor,,No,"You can use your armor to deflect strikes that would kill others.
You gain the following benefits:Increase your Strength score by 1, to a maximum of 20.While you are wearing heavy armor, bludgeoning, piercing, and slashing damage that you take from nonmagical attacks is reduced by 3.",https://5e.tools/feats.html#heavy%20armor%20master_phb
Heavy Glider,HumblewoodCampaignSetting,47,Glide trait,,No,"You were either born with great strength, or trained hard to allow yourself to glide under circumstances most would find impossible.
You gain the following benefits:You may glide while holding a heavy weapon and wearing heavy armor as long as you aren't encumbered.You may choose to land your glide in a space occupied by a hostile creature that is Large or smaller.
If you do so, you may roll an opposed Strength check against the creature.
On a success, you push them 10 feet away and knock them prone with the force of your impact.
On a failure you land in the nearest un-occupied space.",https://5e.tools/feats.html#heavy%20glider_humblewoodcampaignsetting
Heir of Arnor,TLotRR,90,,,No,"The days of your folk have darkened, and not many of you remain; but ever the memory of the Kings is passed from generation to generation.
An artefact going back to the days of Lost Arnor has been in your family's possession for unbroken generations.
Now you have been deemed worthy to become its keeper.Increase one ability score of your choice by 1, to a maximum of 20.With the help of the Loremaster, use the rules in Chapter 7 from The Lord of the Rings Roleplaying to create either a Wondrous Item, or a Famous Weapon possessing a single enchanted reward.
The item is generally of Númenórean craftsmanship, but might even be of Elven or Dwarven make.
If it is a Famous Weapon, it can be upgraded with up to two non-enchanted rewards, as if it was a normal item.",https://5e.tools/feats.html#heir%20of%20arnor_tlotrr
High Destiny,TLotRR,83,,,No,"Stories tell that those who belong to the race of Dale are destined for greatness, a fact proven true by your King and his story.
Do you share the same destiny of those of the line of Girion?Increase your Constitution score by 1, to a maximum of 20.You have advantage on death saving throws.Whenever you become stable, you also regain 1 hit point.",https://5e.tools/feats.html#high%20destiny_tlotrr
Hit Die,TLotRR,68,,,Yes,"You gain a Hit Die, a d6, and your hit points maximum increases by 1d6 (or 4) + your Constitution modifier.
Special.
You may take this feature multiple times.",https://5e.tools/feats.html#hit%20die_tlotrr
Infernal Constitution,XGE,75,Tiefling,,No,"Fiendish blood runs strong in you, unlocking a resilience akin to that possessed by some fiends.
You gain the following benefits:Increase your Constitution score by 1, to a maximum of 20.You have resistance to cold and poison damage.You have advantage on saving throws against being poisoned.",https://5e.tools/feats.html#infernal%20constitution_xge
Initiate of High Sorcery,DSotDQ,32,"Dragonlance Campaign; Sorcerer, Wizard, or Mage of High Sorcery",,No,See 5etools link for full description,https://5e.tools/feats.html#initiate%20of%20high%20sorcery_dsotdq
Inspiring Leader,PHB,167,Charisma 13 or higher,,No,"You can spend 10 minutes inspiring your companions, shoring up their resolve to fight.
When you do so, choose up to six friendly creatures (which can include yourself) within 30 feet of you who can see or hear you and who can understand you.
Each creature can gain temporary hit points equal to your level + your Charisma modifier.
A creature can't gain temporary hit points from this feat again until it has finished a short or long rest.",https://5e.tools/feats.html#inspiring%20leader_phb
Keen Mind,PHB,167,,,No,"You have a mind that can track time, direction, and detail with uncanny precision.
You gain the following benefits:Increase your Intelligence score by 1, to a maximum of 20.You always know which way is north.You always know the number of hours left before the next sunrise or sunset.You can accurately recall anything you have seen or heard within the past month.",https://5e.tools/feats.html#keen%20mind_phb
Keenness of the Stone Giant,BGG,18,"4th level, strike of the giants (stone strike)",,No,"You've manifested the physical talents emblematic of stone giants, granting you the following benefits:Ability Score Increase.
Increase your Strength, Constitution, or Wisdom by 1, to a maximum of 20.Cavernous Sight.
You gain darkvision with a range of 60 feet.
If you already have darkvision from another source, its range increases by 60 feet.Stone Throw.
As a bonus action, you can take a rock and make a magical attack with it.
The attack is a ranged spell attack with a range of 60 feet that uses the ability score you increased with this feat as the spellcasting ability.
On a hit, the rock deals 1d10 force damage, and the target must succeed on a Strength saving throw (DC equals 8 + your proficiency bonus + the spellcasting ability modifier) or have the prone condition.
You can use this bonus action a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.",https://5e.tools/feats.html#keenness%20of%20the%20stone%20giant_bgg
Knight of the Crown,DSotDQ,32,"4th level, squire of solamnia",,No,"You are a Knight of Solamnia aligned with the Order of the Crown, a group that extols the virtues of cooperation, loyalty, and obedience.
You excel in group combat and gain these benefits:Ability Score Increase.
Increase your Strength, Dexterity, or Constitution by 1, to a maximum of 20.Commanding Rally.
As a bonus action, you can command one ally within 30 feet of yourself to attack.
If that ally can see or hear you, they can immediately make one weapon attack as a reaction.
If the attack hits, the ally can roll a d8 and add the number rolled as a bonus to the attack's damage roll.
You can use this bonus action a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.
Membership in Knightly Orders[–] Knights of Solamnia are only ever members of one of their organization's orders.
In the course of their training, most knights begin as members of the Knights of the Crown and then move on to join other orders.
Whether a character follows this path or another, they retain what they learned as a member of an order even if they join another.
Characters can change what knightly order they're a part of, but they always have access to any Knight of Solamnia feats they've acquired.",https://5e.tools/feats.html#knight%20of%20the%20crown_dsotdq
Knight of the Rose,DSotDQ,33,"4th level, squire of solamnia",,No,"You are a Knight of Solamnia aligned with the Order of the Rose, a group known for leadership, justice, and wisdom.
Your resolve grants you these benefits:Ability Score Increase.
Increase your Constitution, Wisdom, or Charisma by 1, to a maximum of 20.Bolstering Rally.
As a bonus action, you can encourage one creature you can see within 30 feet of yourself (you can choose yourself).
If the target can see or hear you, the target gains temporary hit points equal to 1d8 + your proficiency bonus + the ability modifier of the ability score increased by this feat.
You can use this bonus action a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.
Membership in Knightly Orders[–] Knights of Solamnia are only ever members of one of their organization's orders.
In the course of their training, most knights begin as members of the Knights of the Crown and then move on to join other orders.
Whether a character follows this path or another, they retain what they learned as a member of an order even if they join another.
Characters can change what knightly order they're a part of, but they always have access to any Knight of Solamnia feats they've acquired.",https://5e.tools/feats.html#knight%20of%20the%20rose_dsotdq
Knight of the Sword,DSotDQ,33,"4th level, squire of solamnia",,No,"You are a Knight of Solamnia aligned with the Order of the Sword, a group devoted to heroism and courage.
Bravery steels your spirit, granting you these benefits:Ability Score Increase.
Increase your Intelligence, Wisdom, or Charisma by 1, to a maximum of 20.Demoralizing Strike.
Once per turn, when you hit a creature with a weapon attack roll, you can attempt to frighten that target.
The target must make a Wisdom saving throw (DC equals 8 + your proficiency bonus + the ability modifier of the score increased by this feat).
On a failed save, the target is frightened of you until the end of your next turn.
On a successful save, the target has disadvantage on the next attack roll it makes before the end of its next turn.
You can use this benefit a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.
Membership in Knightly Orders[–] Knights of Solamnia are only ever members of one of their organization's orders.
In the course of their training, most knights begin as members of the Knights of the Crown and then move on to join other orders.
Whether a character follows this path or another, they retain what they learned as a member of an order even if they join another.
Characters can change what knightly order they're a part of, but they always have access to any Knight of Solamnia feats they've acquired.",https://5e.tools/feats.html#knight%20of%20the%20sword_dsotdq
Leech-Craft,TLotRR,64,,,No,"You are skilled, according to ancient traditions, in the healing of wounds and sickness.
As an action, you can spend a craft slot to tend to a creature within 5 feet of you and make a DC 10 Intelligence (Medicine) check.
You can spend one use of a healer's kit to replace the d20 roll with a 10.
If you succeed, the creature regains a number of hit points equal to your check result minus 10 (minimum 1 hit point).When you reach 5th level, on a successful check you can alternatively cure the target of one disease or neutralise one poison affecting it.",https://5e.tools/feats.html#leech-craft_tlotrr
Light Foot,ObojimaTallGrass,163,,,No,"You are exceptionally speedy and agile.
You gain the following benefits:While you aren't wearing heavy armor, you gain a +1 bonus to your AC.Whenever you take the Attack action, you can forgo one of your attacks to move up to half your speed.Nonmagical difficult terrain costs you no extra movement.You can move through a hostile creature's space, regardless of its size.",https://5e.tools/feats.html#light%20foot_obojimatallgrass
Lightly Armored,PHB,167,,,No,"You have trained to master the use of light armor, gaining the following benefits:Increase your Strength or Dexterity by 1, to a maximum of 20.You gain proficiency with light armor.",https://5e.tools/feats.html#lightly%20armored_phb
Linguist,PHB,167,,,No,"You have studied languages and codes, gaining the following benefits:Increase your Intelligence score by 1, to a maximum of 20.You learn three languages of your choice.You can ably create written ciphers.
Others can't decipher a code you create unless you teach them, they succeed on an Intelligence check (DC equal to your Intelligence score + your proficiency bonus), or they use magic to decipher it.",https://5e.tools/feats.html#linguist_phb
Lucky,PHB,167,,,No,"You have inexplicable luck that seems to kick in at just the right moment.You have 3 luck points.
Whenever you make an attack roll, an ability check, or a saving throw, you can spend one luck point to roll an additional d20.
You can choose to spend one of your luck points after you roll the die, but before the outcome is determined.
You choose which of the d20s is used for the attack roll, ability check, or saving throw.You can also spend one luck point when an attack roll is made against you.
Roll a d20, and then choose whether the attack uses the attacker's roll or yours.
If more than one creature spends a luck point to influence the outcome of a roll, the points cancel each other out; no additional dice are rolled.You regain your expended luck points when you finish a long rest.",https://5e.tools/feats.html#lucky_phb
Mage Slayer,PHB,168,,,No,"You have practiced techniques useful in melee combat against spellcasters, gaining the following benefits:When a creature within 5 feet of you casts a spell, you can use your reaction to make a melee weapon attack against that creature.When you damage a creature that is concentrating on a spell, that creature has disadvantage on the saving throw it makes to maintain its concentration.You have advantage on saving throws against spells cast by creatures within 5 feet of you.",https://5e.tools/feats.html#mage%20slayer_phb
Magic Initiate,PHB,168,,,No,"Choose a class:
bard, cleric, druid, sorcerer, warlock, or wizard.
You learn two cantrips of your choice from that class's spell list.In addition, choose one 1st-level spell to learn from that same list.
Using this feat, you can cast the spell once at its lowest level, and you must finish a long rest before you can cast it in this way again.Your spellcasting ability for these spells depends on the class you chose:
Charisma for bard, sorcerer, or warlock; Wisdom for cleric or druid; or Intelligence for wizard.",https://5e.tools/feats.html#magic%20initiate_phb
Magically Mischievous,ObojimaTallGrass,163,,,No,"You've picked up a few magical tricks that assist your nefarious skills.
You gain the following benefits:You gain proficiency in the Sleight of Hand skill.
If you already have proficiency, you gain expertise instead, which means your proficiency bonus is doubled for any ability check you make with it.When you succeed on a Dexterity (Sleight of Hand) check to steal something, you can magically turn the object you stole invisible as part of the same action, as if you had cast the Obscure Object spell.
The object must be small enough to fit in the palm of your hand, and this effect lasts for 1 minute.
You can use this ability a number of times per day equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.",https://5e.tools/feats.html#magically%20mischievous_obojimatallgrass
Martial Adept,PHB,168,,,No,"You have martial training that allows you to perform special combat maneuvers.
You gain the following benefits:You learn two maneuvers of your choice from among those available to the Battle Master archetype in the fighter class.
If a maneuver you use requires your target to make a saving throw to resist the maneuver's effects, the saving throw DC equals 8 + your proficiency bonus + your Strength or Dexterity modifier (your choice).You gain one superiority die, which is a d6 (this die is added to any superiority dice you have from another source).
This die is used to fuel your maneuvers.
A superiority die is expended when you use it.
You regain your expended superiority dice when you finish a short or long rest.",https://5e.tools/feats.html#martial%20adept_phb
Mastery,TLotRR,80,,,No,"You have practised certain skills until they have become as natural as breathing.Increase one ability score of your choice by 1, to a maximum of 20.You gain one skill, tool, or weapon proficiency of your choice.Choose one of your skill or tool proficiencies.
You gain Expertise with that skill or tool, which means your proficiency bonus is doubled for any ability check you make with it.",https://5e.tools/feats.html#mastery_tlotrr
Medium Armor Master,PHB,168,Proficiency with medium armor,,No,"You have practiced moving in medium armor to gain the following benefits:Wearing medium armor doesn't impose disadvantage on your Dexterity (Stealth) checks.When you wear medium armor, you can add 3, rather than 2, to your AC if you have a Dexterity of 16 or higher.",https://5e.tools/feats.html#medium%20armor%20master_phb
Member of AHA,ObojimaTallGrass,163,You must be a member of AHA,,No,"You have become an official member of AHA.
You gain the following benefits:Increase your Intelligence score by 1, to a maximum of 20.You learn the Jolt cantrip.
You also learn one of the following spells of your choice:
Comprehend Languages, Detect Magic, Identify, or Illusory Script.
You can cast the chosen spell once without expending a spell slot, and you must finish a long rest before you can cast it in this way again.
You can also cast the spell using any spell slots you have.
Intelligence is your spellcasting ability for these spells.",https://5e.tools/feats.html#member%20of%20aha_obojimatallgrass
Memory of Ancient Days,TLotRR,86,,,No,"Long centuries and uncounted generations of Men seem but a little while to the Elves.
Your memories go back to a time before Eriador became desolate, and your knowledge of the land is returning to you now that you are travelling again outside the boundaries of your realm.Increase your Intelligence or Wisdom by 1, to a maximum of 20.You can give yourself a bonus to pathfinding checks equal to your Intelligence modifier (minimum of +1).When you are targeted by a journey event, the roll on the Journey Events table is done as if you were in a Border Land if you are in a Wild Land, and as if you were in a Wild Land if you are in a Dark Land.",https://5e.tools/feats.html#memory%20of%20ancient%20days_tlotrr
Metamagic Adept,TCE,80,Spellcasting or Pact Magic feature,,No,"You've learned how to exert your will on your spells to alter how they function:You learn two Metamagic options of your choice from the sorcerer class.
You can use only one Metamagic option on a spell when you cast it, unless the option says otherwise.
Whenever you reach a level that grants the Ability Score Improvement feature, you can replace one of these Metamagic options with another one from the sorcerer class.You gain 2 sorcery points to spend on Metamagic (these points are added to any sorcery points you have from another source but can be used only on Metamagic).
You regain all spent sorcery points when you finish a long rest.",https://5e.tools/feats.html#metamagic%20adept_tce
