"Name","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Hobgoblin Tactician","Medium","Humanoid (Hobgoblin, Retainer)","any alignment","15 (medium armor)","Seven times their level (number of d8 Hit Dice equal to their level)","30 ft.","10","10","12","16","12","10","Str +PB, Dex +PB, Con +PB, Int +PB, Wis +PB, Cha +PB","Arcana +3 plus PB, History +3 plus PB","","fire","","","darkvision 60 ft., passive Perception 11","Common, Goblin, Infernal","—","","Signature Attack (Flame Touch). Melee or Ranged Spell Attack: +3 plus PB to hit, reach 5 ft. or range 60 ft., one target. Hit: 5 (1d10) fire damage. A flammable object hit by this spell ignites if it isn't being worn or carried. This spell's damage increases by 1d10 when the tactician reaches 5th level (2d10), 11th level (3d10), and 17th level (4d10).
3rd Level: Heat Seeker (3/Day). As an action, the tactician makes a signature attack but doesn't make an attack roll for it. Instead, the attack automatically hits, and each ally within 30 feet of the target can use their reaction to move up to their speed toward the target.
5th Level: Beacon (3/Day). When the tactician hits with a signature attack, each creature within 5 feet of the target can use a reaction to make a melee weapon attack against the target.
7th Level: Explosion (1/Day). As an action, the tactician hurls a ball of fire at a point they can see within 120 feet of them. The ball explodes in a 20-foot-radius sphere, forcing each enemy in that area to make a DC 10 plus PB Dexterity saving throw. On a failed save, a creature takes PBd12 fire damage and is pushed 20 feet away from the center of the area. On a successful save, a creature takes half as much damage and isn't pushed. The fire spreads around corners and ignites flammable objects in the area that aren't being worn or carried.","","","","","","","",""
"Hobgoblin Trooper","Medium","Humanoid (Hobgoblin, Soldier)","any alignment","16 (ring mail, shield)","18 (4d8)","30 ft.","14","12","11","10","10","10","","Athletics +4, Perception +2","","fire","","","darkvision 60 ft., passive Perception 12","Common, Goblin, Infernal","1/2 (100 XP)","Infernal Ichor. When the trooper dies, their corpse unleashes a spray of burning orange ichor. Each creature within 5 feet of the trooper takes 2 fire damage.","Fire Flail. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) bludgeoning damage, and another target within 5 feet of the first takes 2 (1d4) fire damage.
Brimstone Dagger. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage plus 2 (1d4) fire damage.","Fight Me, Coward. The trooper hexes a creature within 5 feet of them who isn't already hexed by another trooper. The first time on a turn a hexed creature damages a creature other than the trooper, the hexed creature takes 5 fire damage. The hex lasts until the start of the trooper's next turn.","","","","","","",""
"Hobgoblin War Mage","Medium","Humanoid (Hobgoblin, Controller)","any alignment","15 (chain shirt)","65 (10d8 + 20)","30 ft.","10","15","15","18","14","16","Int +6, Cha +5","Arcana +6, History +6","","fire","","","darkvision 60 ft., passive Perception 12","Common, Goblin, Infernal","3 (700 XP)","Infernal Ichor. When the mage dies, their corpse unleashes a spray of burning orange ichor. Each creature within 5 feet of the mage takes 5 fire damage.","Infernal Teleport. Melee Spell Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d10) necrotic damage, and if the target is a creature, they must succeed on a DC 14 Charisma saving throw or be teleported up to 15 feet to an unoccupied space the mage can see.
Rain Hellfire (2nd-Level Spell). The mage rains fire down on a point they can see within 60 feet of them. Each creature in a 10-foot-radius sphere centered on that point must make a DC 14 Dexterity saving throw, taking 10 (3d6) fire damage on a failed save, or half as much damage on a successful one. The fire spreads around corners, and it ignites flammable objects in that area that aren't being worn or carried.
Unhallowed Ground (3rd-Level Spell; Concentration). The mage chooses a point on the ground that they can see within 60 feet of them. A 20-foot square of glowing, unholy energy appears on the ground centered on that point and lasts for up to 1 minute. Each enemy in that area is vulnerable to fire damage.","","Spell Siphon. When a creature the mage can see within 60 feet of them casts a spell, the mage reflects some of the spell's magical energy back at the caster. The caster must succeed on a DC 14 Dexterity saving throw or take 3 (1d6) force damage per level of the triggering spell (minimum 1d6 force damage).","","","","","",""
"Hobgoblin War Mage","Medium","Humanoid (Hobgoblin, Controller)","any alignment","15 (chain shirt)","65 (10d8 + 20)","30 ft.","10","15","15","18","14","16","Int +6, Cha +5","Arcana +6, History +6","","fire","","","darkvision 60 ft., passive Perception 12","Common, Goblin, Infernal","3 (700 XP)","Infernal Ichor. When the mage dies, their corpse unleashes a spray of burning orange ichor. Each creature within 5 feet of the mage takes 5 fire damage.","Infernal Teleport. Melee Spell Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d10) necrotic damage, and if the target is a creature, they must succeed on a DC 14 Charisma saving throw or be teleported up to 15 feet to an unoccupied space the mage can see.
Rain Hellfire (2nd-Level Spell). The mage rains fire down on a point they can see within 60 feet of them. Each creature in a 10-foot-radius sphere centered on that point must make a DC 14 Dexterity saving throw, taking 10 (3d6) fire damage on a failed save, or half as much damage on a successful one. The fire spreads around corners, and it ignites flammable objects in that area that aren't being worn or carried.
Unhallowed Ground (3rd-Level Spell; Concentration). The mage chooses a point on the ground that they can see within 60 feet of them. A 20-foot square of glowing, unholy energy appears on the ground centered on that point and lasts for up to 1 minute. Each enemy in that area is vulnerable to fire damage.","","Spell Siphon. When a creature the mage can see within 60 feet of them casts a spell, the mage reflects some of the spell's magical energy back at the caster. The caster must succeed on a DC 14 Dexterity saving throw or take 3 (1d6) force damage per level of the triggering spell (minimum 1d6 force damage).","","","","","",""
"Hobgoblin Warlord","Medium","Fey (Goblinoid)","lawful evil","20","112 (15d8 + 45)","30 ft.","17","14","16","14","11","15","Dex +5, Int +5, Wis +3, Cha +5","","","","","","darkvision 60 ft., passive Perception 10","Common, Goblin","6 (2,300 XP)","Aura of Authority. While in a 30-foot Emanation originating from the hobgoblin, the hobgoblin and its allies have Advantage on attack rolls and saving throws, provided the hobgoblin doesn't have the Incapacitated condition.","Multiattack. The hobgoblin makes three attacks, using Javelin or Longsword in any combination.
Javelin. Melee or Ranged Attack Roll: +6, reach 5 ft. or range 30/120 ft. Hit: 11 (2d6 + 4) Piercing damage, and the target's Speed decreases by 10 feet until the start of the hobgoblin's next turn.
Longsword. Melee Attack Roll: +6, reach 5 ft. Hit: 12 (2d8 + 3) Slashing damage.","","Parry. Trigger: The hobgoblin is hit by a melee attack roll while holding a weapon. Response: The hobgoblin adds 3 to its AC against that attack, possibly causing it to miss.","","","","","Desert, Forest, Grassland, Hill, Mountain, Planar (Acheron), Underdark","Individual, Armaments"
"Hobgoblin Warrior","Medium","Fey (Goblinoid)","lawful evil","18","11 (2d8 + 2)","30 ft.","13","12","12","10","10","9","","","","","","","darkvision 60 ft., passive Perception 10","Common, Goblin","1/2 (100 XP)","Pack Tactics. The hobgoblin has Advantage on an attack roll against a creature if at least one of the hobgoblin's allies is within 5 feet of the creature and the ally doesn't have the Incapacitated condition.","Longsword. Melee Attack Roll: +3, reach 5 ft. Hit: 12 (2d10 + 1) Slashing damage.
Longbow. Ranged Attack Roll: +3, range 150/600 ft. Hit: 5 (1d8 + 1) Piercing damage plus 7 (3d4) Poison damage.","","","","","","","Desert, Forest, Grassland, Hill, Mountain, Planar (Acheron), Underdark","Individual, Armaments"
"Horncaller","Medium","Humanoid (Any Race)","lawful good","13 (hide armor)","39 (6d8 + 12)","30 ft.","13","12","14","10","14","13","","Animal Handling +4, Nature +2, Perception +4","","","","","passive Perception 14","Common plus any one language","1 (200 XP)","Innate Spellcasting. The horncaller's innate spellcasting ability is Wisdom (spell save DC 14). The horncaller can innately cast the following spells, requiring no material components:1/day each: bless, conjure animals
Speak with Beasts. The horncaller can communicate with beasts as if they shared a language.","Multiattack. The horncaller makes two melee attacks with its staff and uses One with the Worldsoul.
Staff. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) piercing damage, or 5 (1d8 + 1) bludgeoning damage if used with two hands.
One with the Worldsoul. The horncaller chooses one beast it can see within 30 feet of it. If the beast can hear the horncaller, the beast uses its reaction to make one melee attack against a target that the horncaller can see.","","","","","","","",""
"Horned Devil","Large","Fiend (Devil)","lawful evil","18","199 (19d10 + 95)","30 ft., fly 60 ft.","22","17","21","12","16","18","Str +10, Dex +7, Wis +7, Cha +8","","","","fire, poison","poisoned","darkvision 150 ft. (unimpeded by magical Darkness), passive Perception 13","Infernal; telepathy 120 ft.","11 (7,200 XP)","Diabolical Restoration. If the devil dies outside the Nine Hells, its body disappears in sulfurous smoke, and it gains a new body instantly, reviving with all its Hit Points somewhere in the Nine Hells.
Magic Resistance. The devil has Advantage on saving throws against spells and other magical effects.","Multiattack. The devil makes three attacks, using Searing Fork or Hurl Flame in any combination. It can replace one attack with a use of Infernal Tail.
Searing Fork. Melee Attack Roll: +10, reach 10 ft. Hit: 15 (2d8 + 6) Piercing damage plus 9 (2d8) Fire damage.
Hurl Flame. Ranged Attack Roll: +8, range 150 ft. Hit: 26 (5d8 + 4) Fire damage. If the target is a flammable object that isn't being worn or carried, it starts burning.
Infernal Tail. Dexterity Saving Throw: DC 17, one creature the devil can see within 10 feet. Failure: 10 (1d8 + 6) Necrotic damage, and the target receives an infernal wound if it doesn't have one. While wounded, the target loses 10 (3d6) Hit Points at the start of each of its turns. The wound closes after 1 minute, after a spell restores Hit Points to the target, or after the target or a creature within 5 feet of it takes an action to stanch the wound, doing so by succeeding on a DC 17 Wisdom (Medicine) check.","","","","","","","Planar (Nine Hells)","Relics"
"Howling Hatred Initiate","Medium","Humanoid (Human)","neutral evil","13 (leather armor)","9 (2d8)","30 ft.","10","15","10","10","9","11","","Deception +2, Religion +2, Stealth +4","","","","","passive Perception 9","Common","1/8 (25 XP)","Guiding Wind (Recharges after a Short or Long Rest). As a bonus action, the initiate gains advantage on the next ranged attack roll it makes before the end of its next turn.
Hold Breath. The initiate can hold its breath for 30 minutes.","Dagger. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage.","","","","","","","",""
"Howling Hatred Priest","Medium","Humanoid (Human)","neutral evil","15 (studded leather)","45 (10d8)","30 ft.","12","16","10","14","10","14","","Acrobatics +5, Intimidation +4, Religion +4","","","","","passive Perception 10","Auran, Common","2 (450 XP)","Hold Breath. The priest can hold its breath for 30 minutes.
Spellcasting. The priest is a 5th-level spellcaster. Its spellcasting ability is Charisma (spell save DC 12, +4 to hit with spell attacks). It knows the following sorcerer spells:Cantrips (at will): blade ward, gust, light, prestidigitation, shocking grasp1st level (4 slots): feather fall, shield, witch bolt2nd level (3 slots): dust devil, gust of wind3rd level (2 slots): gaseous form","Multiattack. The priest makes two melee attacks or two ranged attacks.
Scimitar. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.
Dagger. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 5 (1d4 + 3) piercing damage.","","","","","","","",""
"Hraesvelgr","Huge","Giant (Shapechanger, Titan)","neutral","19 (natural armor)","241 (21d12 + 105)","50 ft. (20 ft. fly 120 ft. in roc form)","25","10","20","16","17","20","Dex +6, Int +9, Wis +9, Cha +11","Athletics +13, Perception +9, Survival +9","","lightning, thunder","cold; bludgeoning, piercing, and slashing from nonmagical attacks","exhaustion","passive Perception 19","Auran, Common, Giant (can't speak in roc form)","19 (22,000 XP)","Influence Weather. Nearby weather responds to Hraesvelgr's desires. At the start of each minute, Hraesvelgr can choose to change the precipitation and wind within 3 miles of him by one stage, up or down (no action required). This effect works like the changing weather conditions aspect of the control weather spell, except Hraesvelgr can't change the temperature and the conditions change immediately.
Legendary Resistance (3/Day). If Hraesvelgr fails a saving throw, he can choose to succeed instead.
Keen Sight (Roc Form Only). Hraesvelgr has advantage on Wisdom (Perception) checks that rely on sight.","Multiattack. Hraesvelgr makes one Beak attack and two Talon attacks, or he makes three Fist attacks. Alternatively, he can make three Gale Blast attacks. If two Fist attacks hit one creature, the target must succeed on a DC 19 Constitution saving throw or be stunned until the end of its next turn.
Beak (Roc Form Only). Melee Weapon Attack: +13 to hit, reach 10 ft., one target. Hit: 25 (4d8 + 7) piercing damage.
Fist (Giant Form Only). Melee Weapon Attack: +13 to hit, reach 10 ft., one target. Hit: 20 (3d8 + 7) bludgeoning damage.
Talons (Roc Form Only). Melee Weapon Attack: +13 to hit, reach 5 ft., one target. Hit: 17 (3d6 + 7) slashing damage, and the target is grappled (escape DC 17). Until this grapple ends, the target is restrained. Hraesvelgr has two talons, each of which can grapple only one target.
Gale Blast. Ranged Spell Attack: +11 to hit, range 120 ft., one target. Hit: 14 (2d8 + 5) bludgeoning damage plus 7 (2d6) cold damage.
Swallow (Roc Form Only). Hraesvelgr makes one Beak attack against a Large or smaller creature he is grappling. If the attack hits, the target is also swallowed, and the grapple ends. While swallowed, the creature is blinded and restrained, it has total cover against attacks and other effects outside Hraesvelgr, and it takes 17 (5d6) acid damage at the start of each of Hraesvelgr's turns. Hraesvelgr can have only one creature swallowed at a time.If Hraesvelgr takes 40 damage or more on a single turn from the swallowed creature, Hraesvelgr must succeed on a DC 15 Constitution saving throw at the end of that turn or regurgitate the creature, which falls prone in a space within 10 feet of Hraesvelgr. Hraesvelgr has disadvantage on this saving throw if he isn't in his roc form. If Hraesvelgr dies, a swallowed creature is no longer restrained by him and can escape from the corpse by using 15 feet of movement, exiting prone.
Sudden Gust (Recharge 5–6). Hraesvelgr unleashes a powerful gust of wind in a 60-foot line that is 10 feet wide. Each creature in the line must make a DC 19 Strength saving throw. On a failure, a creature takes 63 (18d6) bludgeoning damage and is pushed up to 15 feet away from Hraesvelgr. On a success, a creature takes half the damage and isn't pushed.","Change Shape. Hraesvelgr transforms into a roc or back into his true form, which is a Giant. His statistics, other than his speed, are the same in each form. Any equipment he is wearing or carrying isn't transformed. He reverts to his true form if he dies.","","Attack. Hraesvelgr makes a Fist or Talons attack.
Move. Hraesvelgr moves up to his speed, or flies up to half his flying speed if in roc form, without provoking opportunity attacks.
Ear-Splitting Screech (Costs 2 Actions; Roc Form Only). Hraesvelgr lets out an ear-splitting screech. Each creature within 30 feet of Hraesvelgr must succeed on a DC 19 Constitution saving throw or take 14 (4d6) thunder damage and be deafened until the end of its next turn.","","On initiative count 20 (losing initiative ties), Hraesvelgr takes a lair action to cause one of the following effects; Hraesvelgr can't use the same effect two rounds in a row:Pillar of Wind. One creature within 60 feet that Hraesvelgr can see must succeed on a DC 19 Strength saving throw or be swept up in a pillar of wind. The creature is restrained and suspended 15 feet off the ground. A creature can take an action to free the restrained creature by succeeding on a DC 19 Strength check. If the restrained creature has a way to pull itself out of the air, it can free itself in the same way. If the restrained creature has a flying speed, it can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. Otherwise, this effect lasts until Hraesvelgr uses this lair action again or until he dies.Powerful Exhale. Hraesvelgr unleashes a blast of wind in a 60-foot cone. Each creature in the area must succeed on a DC 19 Dexterity saving throw or be knocked prone.Terrifying Utterance. Hraesvelgr lets out a thunderous bellow. Each creature within 30 feet of him and that can hear him must succeed on a DC 19 Constitution saving throw or be frightened for 1 minute. A frightened creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","The region containing Hraesvelgr's lair is warped by his magic, which creates one or more of the following effects:Active Weather. Strong windstorms are common within 6 miles of the lair.Roosting Rocs. Within 3 miles of the lair, giant avian Beasts are more populous and fiercely defend the area against intruders.Stench of Decay. The wind within 10 miles of the lair bears a pungent carrion stench.If Hraesvelgr dies, these effects fade over the course of 1d10 days.","Mountain",""
"Hulgaz","Large","Fiend (Devil)","lawful evil","17 (natural armor)","190 (20d10 + 80)","30 ft., fly 30 ft. (hover)","17","10","18","14","15","20","Wis +7, Cha +10","Deception +10, Insight +7, Perception +7, Persuasion +10","","acid, cold; bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered","fire, poison","charmed, poisoned","truesight 120 ft., passive Perception 17","Abyssal, Common, telepathy 120 ft.","14 (11,500 XP)","Legendary Resistance (3/Day). If Hulgaz fails a saving throw, she can choose to succeed instead.
Magic Resistance. Hulgaz has advantage on saving throws against spells and other magical effects.","Multiattack. Hulgaz makes two Claw attacks and one Intoxicating Sting attack.
Claw. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 12 (2d8 + 3) slashing damage.
Intoxicating Sting. Melee Weapon Attack: +8 to hit, reach 10 ft., one creature. Hit: 8 (1d10 + 3) piercing damage plus 10 (3d6) poison damage, and the target must succeed on a DC 17 Wisdom saving throw or have the charmed condition until the start of Hulgaz's next turn.
Brimstone Vapor (Recharge 5–6). Hulgaz exhales a 30-foot cone of noxious, scorching-hot vapor. Each creature in that area must succeed on a DC 17 Constitution saving throw or have the poisoned condition for 1 minute. While poisoned in this way, a creature takes 31 (7d8) fire damage at the start of each of its turns and has disadvantage on Wisdom saving throws. A target can repeat the Constitution saving throw at the end of each of its turns, ending the effect on itself on a success.
Spellcasting. Hulgaz casts one of the following spells, requiring no material components and using Charisma as the spellcasting ability (spell save DC 18):At will: Charm Person2/day each: Dispel Magic, Fog Cloud1/day: Teleport","","","Attack. Hulgaz makes one Claw attack.
Charm. Hulgaz uses Spellcasting to cast Charm Person.
Curdle Heart (Costs 2 Actions). Hulgaz sours the good feelings of her charmed victims. She chooses any number of creatures she can see who are charmed by her. Each target takes 17 (5d6) psychic damage as the charmed condition applied by Hulgaz ends on it.","","","","",""
"Hulking Brain","Large","Aberration (Brute)","lawful evil","16 (natural armor)","126 (12d10 + 60)","30 ft.","21","10","20","8","6","12","","","","","","","blindsight 120 ft. (blind beyond this radius), passive Perception 8","Deep Speech, Undercommon, telepathy 120 ft.","7 (2,900 XP)","Psionic Immunity. The hulking brain is unaffected by psionic powers manifested by voiceless talkers unless the brain wishes to be.
Psychic Scream. When the brain drops to 0 hit points, each creature within 30 feet of them must make a DC 16 Wisdom saving throw, taking 21 (6d6) psychic damage on a failed save, or half as much damage on a successful one.","Multiattack. The brain makes three Bash attacks.
Bash. Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 14 (2d8 + 5) bludgeoning damage, and the target is grappled (escape DC 15). Until the grapple ends, the target is restrained and has disadvantage on saving throws against psionic powers. The brain can grapple up to four creatures at once.
Squeeze. Each creature grappled by the brain must make a DC 16 Strength saving throw, taking 22 (4d10) bludgeoning damage on a failed save, or half as much damage on a successful one.","Psionic Invigoration (1/Day). Each willing voiceless talker within 60 feet of the brain regains the use of one psionic power of the voiceless talker's choice, and the voiceless talker has advantage on attack rolls until the end of the brain's next turn.","","","","","","",""
"Hulking Brain","Large","Aberration (Brute)","lawful evil","16 (natural armor)","126 (12d10 + 60)","30 ft.","21","10","20","8","6","12","","","","","","","blindsight 120 ft. (blind beyond this radius), passive Perception 8","Deep Speech, Undercommon, telepathy 120 ft.","7 (2,900 XP)","Psionic Immunity. The hulking brain is unaffected by psionic powers manifested by voiceless talkers unless the brain wishes to be.
Psychic Scream. When the brain drops to 0 hit points, each creature within 30 feet of them must make a DC 16 Wisdom saving throw, taking 21 (6d6) psychic damage on a failed save, or half as much damage on a successful one.","Multiattack. The brain makes three Bash attacks.
Bash. Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 14 (2d8 + 5) bludgeoning damage, and the target is grappled (escape DC 15). Until the grapple ends, the target is restrained and has disadvantage on saving throws against psionic powers. The brain can grapple up to four creatures at once.
Squeeze. Each creature grappled by the brain must make a DC 16 Strength saving throw, taking 22 (4d10) bludgeoning damage on a failed save, or half as much damage on a successful one.","Psionic Invigoration (1/Day). Each willing voiceless talker within 60 feet of the brain regains the use of one psionic power of the voiceless talker's choice, and the voiceless talker has advantage on attack rolls until the end of the brain's next turn.","","","","","","",""
"Hulking Whelp","Small","Fey (Shapechanger)","chaotic neutral","15 (natural armor)","94 (9d12 + 36)","40 ft.","21","10","18","7","14","9","","","","bludgeoning, piercing, and slashing from nonmagical attacks","","","passive Perception 12","—","5 (1,800 XP)","Frightened Anger (Hulking Form Only). The hulking whelp has disadvantage on saving throws against spells and other magical effects that reduce strong emotions, such as the calm emotions spell.
Pacify (Hulking Form Only). A friendly creature that has interacted peacefully with the hulking whelp in its whelp form can try to calm it by speaking firmly and persuasively. The hulking whelp must be able to hear the creature, who must take an action to make a DC 15 Charisma (Persuasion) check. If the check succeeds, the hulking whelp transforms back into its whelp form on its next turn and stops attacking. If the hulking whelp takes damage before then, it remains in its hulking form and continues attacking.
Unleashed Emotion (Hulking Form Only). On each of the hulking whelp's turns, it attacks the nearest creature it can see. If no creature is near enough to move to and attack, the hulking whelp attacks an object, with preference for an object smaller than itself. If no creature is near enough to move to and attack for two turns in a row, the hulking whelp uses Change Shape to return to its whelp form and stops attacking.","Multiattack. The hulking whelp makes two Slam attacks.
Slam. Melee Weapon Attack: +8 to hit, reach 10 ft., one target. Hit: 18 (3d8 + 5) bludgeoning damage.","Change Shape. The hulking whelp transforms into a Huge, hulking canine or back into its true whelp form, which is Fey. Its statistics, other than its size and creature type, are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.","Defensive Transformation (Whelp Form Only). When the hulking whelp is hit with an attack or when a creature it can see or hear within 30 feet of it threatens to harm it, it must succeed on a DC 12 Wisdom saving throw or transform into its hulking canine form (see the Change Shape bonus action).","","","","","Farmland, Forest",""
"Human Apprentice Mage","Medium","Humanoid (Human, Minion)","any alignment","14 (studded leather)","13","30 ft.","8","14","10","14","11","10","","Arcana +5","","","","","passive Perception 10","Common plus any two languages","6 (285 XP)","Empower Patron. A non-minion creature serves as the mage's patron in exchange for the mage's protective magic. At the start of the patron's turn, the patron gains temporary hit points equal to twice the number of apprentice mages within 60 feet of them who chose them as a patron and can see them.
Exploit Weakness. When the mage makes or joins an attack that's made with advantage, the attack deals an extra 1 damage per mage who made or joined the attack.
Minion. If the mage takes damage from an attack or as the result of a failed saving throw, their hit points are reduced to 0. If the mage takes damage from another effect, they die if the damage equals or exceeds their hit point maximum; otherwise they take no damage.","Lightning Strike (Group Attack). Ranged Spell Attack: +5 to hit, range 120 ft., one creature. Hit: 2 lightning damage, and if this attack was made by more than one mage, each mage who joined the attack picks one creature within 30 feet of the original target. Each creature picked takes 2 lightning damage for each mage who targeted them; the mage's Exploit Weakness trait does not increase this damage.
Thunder Crack (Group Attack). Melee Spell Attack: +5 to hit, reach 5 ft., one target. Hit: 4 thunder damage, and the target can't make opportunity attacks until the start of their next turn.","","","","","","","",""
"Human Apprentice Mage","Medium","Humanoid (Human, Minion)","any alignment","14 (studded leather)","13","30 ft.","8","14","10","14","11","10","","Arcana +5","","","","","passive Perception 10","Common plus any two languages","6 (285 XP)","Empower Patron. A non-minion creature serves as the mage's patron in exchange for the mage's protective magic. At the start of the patron's turn, the patron gains temporary hit points equal to twice the number of apprentice mages within 60 feet of them who chose them as a patron and can see them.
Exploit Weakness. When the mage makes or joins an attack that's made with advantage, the attack deals an extra 1 damage per mage who made or joined the attack.
Minion. If the mage takes damage from an attack or as the result of a failed saving throw, their hit points are reduced to 0. If the mage takes damage from another effect, they die if the damage equals or exceeds their hit point maximum; otherwise they take no damage.","Lightning Strike (Group Attack). Ranged Spell Attack: +5 to hit, range 120 ft., one creature. Hit: 2 lightning damage, and if this attack was made by more than one mage, each mage who joined the attack picks one creature within 30 feet of the original target. Each creature picked takes 2 lightning damage for each mage who targeted them; the mage's Exploit Weakness trait does not increase this damage.
Thunder Crack (Group Attack). Melee Spell Attack: +5 to hit, reach 5 ft., one target. Hit: 4 thunder damage, and the target can't make opportunity attacks until the start of their next turn.","","","","","","","",""
"Human Brawler","Medium","Humanoid (Human, Brute)","any alignment","14 (studded leather)","52 (7d8 + 21)","30 ft.","17","14","16","10","10","12","","Athletics +5, Intimidation +3","","","","","passive Perception 10","Common","2 (450 XP)","Exploit Opening (3/Day). When the brawler makes an attack, they have advantage on the attack roll.","Multiattack. The brawler makes two attacks using Grab, Haymaker, or both.
Grab. Melee Weapon Attack: +5 to hit, reach 5 ft., one Medium or smaller creature. Hit: 5 (1d4 + 3) bludgeoning damage, and the target is grappled (escape DC 13). Until this grapple ends, the brawler can't grab another creature.
Haymaker. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) bludgeoning damage, or 10 (3d4 + 3) bludgeoning damage against a grappled target.
Throw. The brawler throws one Medium or smaller creature they are grappling or object they are holding up to 30 feet horizontally. If the thrown target is a creature, they fall prone after this throw. If the thrown target would enter the space of a creature or solid object that is no more than one size smaller than it, the thrown target collides with it and stops in the nearest unoccupied space, taking 3 (1d6) bludgeoning damage for every 10 feet it was thrown. A Large or smaller creature hit by this thrown target must succeed on a DC 13 Dexterity saving throw or take the same amount of damage and fall prone.","","Meat Shield. When the brawler is grappling a target and is hit by a ranged attack made by another creature the brawler can see, the brawler gains a +2 bonus to AC against the triggering attack. If this bonus causes the attack to miss the brawler, it hits the grappled target instead.","","","","","",""
"Human Brawler","Medium","Humanoid (Human, Brute)","any alignment","14 (studded leather)","52 (7d8 + 21)","30 ft.","17","14","16","10","10","12","","Athletics +5, Intimidation +3","","","","","passive Perception 10","Common","2 (450 XP)","Exploit Opening (3/Day). When the brawler makes an attack, they have advantage on the attack roll.","Multiattack. The brawler makes two attacks using Grab, Haymaker, or both.
Grab. Melee Weapon Attack: +5 to hit, reach 5 ft., one Medium or smaller creature. Hit: 5 (1d4 + 3) bludgeoning damage, and the target is grappled (escape DC 13). Until this grapple ends, the brawler can't grab another creature.
Haymaker. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) bludgeoning damage, or 10 (3d4 + 3) bludgeoning damage against a grappled target.
Throw. The brawler throws one Medium or smaller creature they are grappling or object they are holding up to 30 feet horizontally. If the thrown target is a creature, they fall prone after this throw. If the thrown target would enter the space of a creature or solid object that is no more than one size smaller than it, the thrown target collides with it and stops in the nearest unoccupied space, taking 3 (1d6) bludgeoning damage for every 10 feet it was thrown. A Large or smaller creature hit by this thrown target must succeed on a DC 13 Dexterity saving throw or take the same amount of damage and fall prone.","","Meat Shield. When the brawler is grappling a target and is hit by a ranged attack made by another creature the brawler can see, the brawler gains a +2 bonus to AC against the triggering attack. If this bonus causes the attack to miss the brawler, it hits the grappled target instead.","","","","","",""
