Name,Source,Page,Description
Golgari Agent,GGR,53,"Skill Proficiencies: Nature, Survival Tool Proficiencies: Poisoner's kit Languages: Choose one of Elvish, Giant, or Kraul Equipment: A Golgari insignia, a poisoner's kit, a pet beetle or spider, a set of common clothes, and a belt pouch containing 10 gp worth of mixed coins Feature: Undercity Paths You know hidden, underground pathways that you can use to bypass crowds, obstacles, and observation as you move through the city. When you aren't in combat, you and companions you lead can travel between any two locations in the city twice as fast as your speed would normally allow. The paths of the undercity are haunted by dangers that rarely brave the light of the surface world, so your journey isn't guaranteed to be safe. Golgari Guild Spells Prerequisite: Spellcasting or Pact Magic class feature For you, the spells on the Golgari Guild Spells table are added to the spell list of your spellcasting class. (If you are a multiclass character with multiple spell lists, these spells are added to all of them.) Golgari magic is often accompanied by a sickly green glow and a rotting stench. Suggested Characteristics Members of the Golgari Swarm are unmistakably products of the undercity, ill at ease amid the comforts of civilization. They bring about the same discomfort in others by reminding them of death's inevitable approach. Contacts To the extent that the Golgari Swarm acts like a single organism, you are connected to every other member in some way or another. Convinced that the rest of the world is out to get you, you find it easy to form close bonds with your guild mates, and harder to make meaningful connections with others. Roll twice on the Golgari Contacts table (for an ally and a rival) and once on the Non-Golgari Contacts table. How Do I Fit In? As part of the Golgari Swarm, you are a specialized instrument of the greater body. Your orders, when you have such, come from the guildmaster by way of his chancellors, who carry his messages throughout the guild. The swarm relies on you to advance the greater good by protecting some part, however small, of its teeming existence. That responsibility doesn't mean you're indispensable; your eventual death is part of your purpose and function, too, and you'll be replaced even as your body provides nutrients to further the swarm's growth. A classic adventuring role for a member of the Golgari involves crawling through dungeon-like environments—the sewers and ancient vaults of the undercity—in search of treasures left behind by the dead. Sometimes you might be sent to find a specific item believed lost in a dangerous part of the undercity. At other times, you could be asked to collect samples of a specific fungus, retrieve a body floating in the muck of the sewers, or bring back whatever booty you can to help fill the swarm's coffers. You might gain enough renown to become a member of the Ochran, assigned to a variety of tasks concerning thievery, assassination, or the protection of important figures in your guild. You might steal something because the guild needs it, or because its loss will bring harm to another guild, hastening that group's decline. You could be assigned to kill an outspoken and active enemy of the Golgari, such as an overzealous Boros captain whose raids into the undercity have approached dangerously close to the swarm's inner sanctum. Or you could serve as a bodyguard to one of Guildmaster Jarad's high chancellors, escorting this figure through the undercity while being ready to intervene at a moment's notice if things go wrong. The shamans of the Golgari use their magic to accelerate the cycle of decay and regrowth. You might be sent to spread spores throughout an area that the Golgari want to claim as their territory or to convince the inhabitants of such a territory to abandon it. You might also contend with the ever-present threat of hostile monsters encroaching into Golgari-controlled regions."
Grinner,EGW,200,"Skill Proficiencies: Deception, Performance Tool Proficiencies: One type of musical instrument, thieves' tools Equipment: A set of fine clothes, a disguise kit, a musical instrument of your choice, a gold-plated ring depicting a smiling face, and a pouch containing 15 gp Feature: Ballad of the Grinning Fool Like every Grinner, you know how to find a hideout. In any city of 10,000 people or more on the Menagerie Coast or in the lands of the Dwendalian Empire, you can play the ""Ballad of the Grinning Fool"" in a major tavern or inn. A member of the Golden Grin will find you and give shelter to you and any companions you vouch for. This shelter might be discontinued if it becomes too dangerous to hide you, at the DM's discretion. This feature must be used with caution, for not all who know the ballad are your friends. Some are traitors, counterspies, or agents of tyranny. Suggested Characteristics Grinners are trained in the art of secrecy and innuendo, and are skilled at hiding in plain sight by being the loudest and brightest person in the room. Their skills in subterfuge and combat lend themselves well to an adventuring lifestyle, and traveling with mercenaries and treasure hunters creates a convenient excuse to journey through lands bent under tyranny."
Gruul Anarch,GGR,60,"Skill Proficiencies: Animal Handling, Athletics Tool Proficiencies: Herbalism kit Languages: Choose one of Draconic, Giant, Goblin, or Sylvan Equipment: A Gruul insignia, a hunting trap, an herbalism kit, the skull of a boar, a beast-hide cloak, a set of traveler's clothes, and a belt pouch containing 10 gp (Azorius 1-zino coins) Feature: Rubblebelt Refuge You are intimately familiar with areas of the city that most people shun: ruined neighborhoods where wurms rampaged, overgrown parks that no hand has tended in decades, and the vast, sprawling rubblebelts of broken terrain that civilized folk have long abandoned. You can find a suitable place for you and your allies to hide or rest in these areas. In addition, you can find food and fresh water in these areas for yourself and up to five other people each day. Gruul Guild Spells Prerequisite: Spellcasting or Pact Magic class feature For you, the spells on the Gruul Guild Spells table are added to the spell list of your spellcasting class. (If you are a multiclass character with multiple spell lists, these spells are added to all of them.) Fueled by the fire of rage burning in your heart, your magic is almost always accompanied by fiery effects, such as flames smoldering behind your eyes or dancing over your hands. Suggested Characteristics Gruul ways aren't the ways of civilized folk, and the Gruul have little patience for social niceties. But they do have cherished traditions and values, just as important to them as the different values held by the urban, cosmopolitan culture of Ravnica. Contacts The members of the Gruul Clans rely on each other even as they vie for territory and glory. Their encounters with members of other guilds are more often violent than friendly, but occasional bonds do form. Roll twice on the Gruul Contacts table (for an ally and a rival) and once on the Non-Gruul Contacts table. How Do I Fit In? In service of a simple goal, you have a simple part to play: Fight. Unleash your rage. Flatten buildings and defeat those who stand in your way. Be Gruul, in your own way. You will frequently be summoned to participate in a raid your clan is launching against the city or against a group of its defenders. Your clan leader might also send you on a special mission, though it would almost certainly still qualify as a raid. You might join a small group of Gruul warriors on a dangerous charge deep into the settled streets to plunder a certain location, retrieve an item stolen from your clan, or assault a Boros garrison. Sometimes your objective might be more esoteric. With prophecies of the return of Ilharg the Raze-Boar spreading like wildfire among the Gruul druids, you might be asked to carry out some task that the druids believe will speed his coming. Such a task might involve collecting a sacred relic held in an Orzhov vault or collecting sacrifices for a grand ceremony in the Raze-Boar's honor."
Guild Artisan,PHB,132,"Skill Proficiencies: Insight, Persuasion Tool Proficiencies: One type of artisan's tools Languages: One of your choice Equipment: A set of artisan's tools (one of your choice), a letter of introduction from your guild, a set of traveler's clothes, and a belt pouch containing 15 gp Feature: Guild Membership As an established and respected member of a guild, you can rely on certain benefits that membership provides. Your fellow guild members will provide you with lodging and food if necessary, and pay for your funeral if needed. In some cities and towns, a guildhall offers a central place to meet other members of your profession, which can be a good place to meet potential patrons, allies, or hirelings. Guilds often wield tremendous political power. If you are accused of a crime, your guild will support you if a good case can be made for your innocence or the crime is justifiable. You can also gain access to powerful political figures through the guild, if you are a member in good standing. Such connections might require the donation of money or magic items to the guild's coffers. You must pay dues of 5 gp per month to the guild. If you miss payments, you must make up back dues to remain in the guild's good graces. Specialty Guilds are generally found in cities large enough to support several artisans practicing the same trade. However, your guild might instead be a loose network of artisans who each work in a different village within a larger realm. Work with your DM to determine the nature of your guild. You can select your guild business from the Guild Business table or roll randomly. Suggested Characteristics Guild artisans are among the most ordinary people in the world—until they set down their tools and take up an adventuring career. They understand the value of hard work and the importance of community, but they're vulnerable to sins of greed and covetousness."
Haunted One,VRGR,34,"Skill Proficiencies: Choose two from among Arcana, Investigation, Religion, or Survival Languages: Choose two, one of which must be , , , , , , , or Equipment: Monster hunter's pack (containing a chest, a crowbar, a hammer, three wooden stakes, a holy symbol, a Holy Water (flask), a Manacles, a steel mirror, a Oil (flask), a tinderbox, and 3 Torch), a set of common clothes, one trinket of special significance (choose one or roll on the Horror Trinket table), and 1 sp Feature: Heart of Darkness Those who look into your eyes can see that you have faced unimaginable horror and that you are no stranger to darkness. Though they might fear you, commoners will extend you every courtesy and do their utmost to help you. Unless you have shown yourself to be a danger to them, they will even take up arms to fight alongside you, should you find yourself facing an enemy alone. Harrowing Event Prior to becoming an adventurer, your path in life was defined by one dark moment, one fateful decision, or one tragedy. Now you feel a darkness threatening to consume you, and you fear there may be no hope of escape. Choose a harrowing event that haunts you, or roll one on the Harrowing Events table. Horror Characteristics Characters in a horror-focused campaign might have distinct motivations and characteristics. Use the following tables to supplement your background's suggested characteristics or to inspire those of your own design."
Hermit,PHB,134,"Skill Proficiencies: Medicine, Religion Tool Proficiencies: Herbalism kit Languages: One of your choice Equipment: A Map or Scroll Case stuffed full of notes from your studies or prayers, a winter blanket, a set of common clothes, an herbalism kit, and 5 gp Feature: Discovery The quiet seclusion of your extended hermitage gave you access to a unique and powerful discovery. The exact nature of this revelation depends on the nature of your seclusion. It might be a great truth about the cosmos, the deities, the powerful beings of the outer planes, or the forces of nature. It could be a site that no one else has ever seen. You might have uncovered a fact that has long been forgotten, or unearthed some relic of the past that could rewrite history. It might be information that would be damaging to the people who or consigned you to exile, and hence the reason for your return to society. Work with your DM to determine the details of your discovery and its impact on the campaign. Specialty What was the reason for your isolation, and what changed to allow you to end your solitude? You can work with your DM to determine the exact nature of your seclusion, or you can choose or roll on the table below to determine the reason behind your seclusion. Suggested Characteristics Some hermits are well suited to a life of seclusion, whereas others chafe against it and long for company. Whether they embrace solitude or long to escape it, the solitary life shapes their attitudes and ideals. A few are driven slightly mad by their years apart from society."
House Agent,ERLW,53,"Skill Proficiencies: Investigation, Persuasion Tool Proficiencies: Two proficiencies from the House Tool Proficiencies table Equipment: A set of fine clothes, house signet ring, identification papers, and a purse containing 20 gp. Role You always gather information for your house, but when a baron give you a specific mission, what sort of work do you do? The House Agent Role table gives possibilities. Feature: House Connections As an agent of your house, you can always get food and lodging for yourself and your friends at a house enclave. When the house assigns you a mission, it will usually provide you with the necessary supplies and transportation. Beyond this, you have many old friends, mentors, and rivals in your house, and you may encounter one of them when you interact with a house business. The degree to which such acquaintances are willing to help you depends on your current standing in your house. Suggested Characteristics House agents are diverse. Consider the house you serve and the work you do when choosing characteristics."
Inheritor,SCAG,150,"Skill Proficiencies: Survival, plus one from among Arcana, History, and Religion Languages: Any one of your choice Tool Proficiencies: Your choice of a gaming set or a musical instrument Equipment: Your inheritance, a set of traveler's clothes, the tool you choose for this background's tool proficiency (gaming set or musical instrument), and a pouch containing 15 gp Feature: Inheritance Choose or randomly determine your inheritance from the possibilities in the table below. Work with your Dungeon Master to come up with details: Why is your inheritance so important, and what is its full story? You might prefer for the DM to invent these details as part of the game, allowing you to learn more about your inheritance as your character does. The Dungeon Master is free to use your inheritance as a story hook, sending you on quests to learn more about its history or true nature, or confronting you with foes who want to claim it for themselves or prevent you from learning what you seek. The DM also determines the properties of your inheritance and how they figure into the item's history and importance. For instance, the object might be a minor magic item, or one that begins with a modest ability and increases in potency with the passage of time. Or, the true nature of your inheritance might not be apparent at first and is revealed only when certain conditions are met. When you begin your adventuring career, you can decide whether to tell your companions about your inheritance right away. Rather than attracting attention to yourself, you might want to keep your inheritance a secret until you learn more about what it means to you and what it can do for you. Suggested Characteristics Use the tables for the folk hero background in the Player's Handbook as the basis for your traits and motivations, modifying the entries when appropriate to suit your identity as an inheritor. Your bond might be directly related to your inheritance, or to the person from whom you received it. Your ideal might be influenced by what you know about your inheritance, or by what you intend to do with your gift once you realize what it is capable of."
Investigator,VRGR,35,"Skill Proficiencies: Choose two from among Insight, Investigation, or Perception Tool Proficiencies: Disguise kit, Thieves' tools Equipment: A magnifying glass, evidence from a past case (choose one or roll for a trinket from the Horror Trinket later in this chapter), a Common Clothes, and 10 gp Feature: Official Inquiry You're experienced at gaining access to people and places to get the information you need. Through a combination of fast-talking, determination, and official-looking documentation, you can gain access to a place or an individual related to a crime you're investigating. Those who aren't involved in your investigation avoid impeding you or pass along your requests. Additionally, local law enforcement has firm opinions about you, viewing you as either a nuisance or one of their own. Path to Mystery Your first case influenced the types of mysteries you're interested in. Why was this case so impactful, personal, or traumatic? Whom did it affect besides you? Why and how did you get involved? Was it solved? How did it set you on the path to investigating other mysteries? Roll on or choose details from the First Case table to develop the mystery that started your career as an investigator. Horror Characteristics Characters in a horror-focused campaign might have distinct motivations and characteristics. Use the following tables to supplement your background's suggested characteristics or to inspire those of your own design."
Izzet Engineer,GGR,66,"Skill Proficiencies: Arcana, Investigation Tool Proficiencies: One type of artisan's tools Languages: Choose one of Draconic, Goblin, or Vedalken Equipment: An Izzet insignia, one set of artisan's tools, the charred and twisted remains of a failed experiment, a hammer, a block and tackle, a set of common clothes, and a belt pouch containing 5 gp (Azorius 1-zino coins) Feature: Urban Infrastructure The popular conception of the Izzet League is based on mad inventions, dangerous experiments, and explosive blasts. Much of that perception is accurate, but the league is also involved with mundane tasks of construction and architecture—primarily in crafting the infrastructure that allows Ravnicans to enjoy running water, levitating platforms, and other magical and technological wonders. You have a basic knowledge of the structure of buildings, including the stuff behind the walls. You can also find blueprints of a specific building in order to learn the details of its construction. Such blueprints might provide knowledge of entry points, structural weaknesses, or secret spaces. Your access to such information isn't unlimited. If obtaining or using the information gets you in trouble with the law, the guild can't shield you from the repercussions. Izzet Guild Spells Prerequisite: Spellcasting or Pact Magic class feature For you, the spells on the Izzet Guild Spells table are added to the spell list of your spellcasting class. (If you are a multiclass character with multiple spell lists, these spells are added to all of them.) Your spells tend to be loud, flashy, or explosive, even when the effect is unremarkable. For example, when you open the portal of a rope trick spell, the portal might be outlined by harmless, showy sparkles. If you use an arcane focus, it probably takes the form of an intricate device that could include metal gauntlets, glass canisters, copper tubing, and leather straps attaching it to your body. The mizzium apparatus described in chapter 5 is a magical version of this gear. The chaos bolt spell is a favorite of Izzet spellcasters because of its unpredictable nature. Suggested Characteristics Members of the Izzet League embody some combination of chaotic, frenetic energy with intellectual curiosity, in varying proportions. Some are committed to academic pursuits, and others just like explosions. Contacts The laboratories of the Izzet League are constantly starting up new projects and dissolving old ones, so it's easy for even the lowliest attendant to make friends (and enemies) in laboratories across Ravnica. Roll twice on the Izzet Contacts table (for an ally and a rival) and once on the Non-Izzet Contacts table. How Do I Fit In? Whatever your role in the Izzet League, you are expected to contribute to its research in some way. That contribution might involve participating in tests, whether as an assistant, a researcher, or a subject. You might be one of the soldiers who protects a laboratory, or a laborer responsible for lifting heavy pieces of equipment into place. Everyone's contribution matters, even if the Izzet know that some matter more than others."
Knight of Solamnia,DSotDQ,30,"Skill Proficiencies: Athletics, Survival Languages: Two of your choice Equipment: An insignia of rank, a playing card set, a set of common clothes, and a pouch containing 10 gp Feature: Squire of Solamnia You gain the Squire of Solamnia feat. In addition, the Knights of Solamnia provide you free, modest lodging and food at any of their fortresses or encampments. Building a Knight of Solamnia Character Any class that has martial prowess can be a good fit in the Knights of Solamnia. Fighter and paladin make up the bulk of the knighthood's forces. Cleric (often with the Cleric domain) can also be found among the knights' ranks. For a more unusual take on a Knight of Solamnia character, consider playing a bard of the Bard (or the Bard from Xanathar's Guide to Everything) or a barbarian devoted to the ideals of the nature god (perhaps adopting the barbarian from Xanathar's Guide to Everything). Knight of Solamnia Trinkets When you make your character, roll once on the Knight of Solamnia Trinkets table instead of on the Trinket in the Player's Handbook for your starting trinket."
Knight of the Order,SCAG,151,"Skill Proficiencies: Persuasion, plus one from among Arcana, History, Nature, and Religion, as appropriate for your order Tool Proficiencies: Your choice of a gaming set or a musical instrument Languages: Any one of your choice Equipment: One set of traveler's clothes, a signet, banner, or seal representing your place or rank in the order, and a pouch containing 10 gp Feature: Knightly Regard You receive shelter and succor from members of your knightly order and those who are sympathetic to its aims. If your order is a religious one, you can gain aid from temples and other religious communities of your deity. Knights of civic orders can get help from the community—whether a lone settlement or a great nation—that they serve, and knights of philosophical orders can find help from those they have aided in pursuit of their ideals, and those who share their ideals. This help comes in the form of shelter and meals, and healing when appropriate, as well as occasionally risky assistance, such as a band of local citizens rallying to aid a sorely pressed knight, or those who support the order helping to smuggle a knight out of town when he or she is being hunted unjustly. Suggested Characteristics Use the tables for the soldier background in the Player's Handbook as the basis for your traits and motivations, modifying the entries when appropriate to suit your identity as a knight of your order. Your bond almost always involves the order to which you belong (or at least key members of it), and it is highly unusual for a knight's ideal not to reflect the agenda, sentiment, or philosophy of one's order."
Lorehold Student,SCC,31,"Skill Proficiencies: History, Religion Languages: Two of your choice Equipment: A Ink (1-ounce bottle), an ink pen, a hammer, a hooded lantern, a tinderbox, a tome of history, a school uniform, and a pouch containing 15 gp Feature: Lorehold Initiate You gain the Strixhaven Initiate feat and must choose Lorehold within it. In addition, if you have the Spellcasting or Pact Magic feature, the spells on the Lorehold Spells table are added to the spell list of your spellcasting class. (If you are a multiclass character with multiple spell lists, these spells are added to all of them.) Consider customizing how your spells look when you cast them. Your Lorehold spells might create displays of golden light. You might use a tome or a scroll as a spellcasting focus, and your spell effects might reflect the appearance of the reference books you study. Building a Lorehold Character Any class or subclass that deals with knowledge of the past can be a good fit in Lorehold. Bards thrive in Lorehold, and wizards (particularly those of the Wizard) are numerous among its students. Clerics (often with the Cleric or Cleric domains) are also quite common. For a more unusual take on a Lorehold student, you could consider playing a barbarian with a primal connection to the past (perhaps adopting the Barbarian from Xanathar's Guide to Everything) or a paladin whose Paladin gives a concrete link to history. Suggested Characteristics Methodical historians and daring adventurers alike can be found among the ranks of Lorehold college. The Lorehold Personality Traits table suggests a variety of traits you might adopt for your character. Lorehold Trinkets When you make your character, you may roll once on the Lorehold Trinket table, instead of on the trinket in the Player's Handbook, for your starting trinket."
Luxonborn (Acolyte),EGW,203,
Mage of High Sorcery,DSotDQ,30,"Skill Proficiencies: Arcana, History Languages: Two of your choice Equipment: A Ink (1-ounce bottle), an ink pen, a set of common clothes, and a pouch containing 10 gp Feature: Initiate of High Sorcery You gain the Initiate of High Sorcery feat. In addition, the Mages of High Sorcery provide you with free, modest lodging and food indefinitely at any occupied Tower of High Sorcery and for one night at the home of an organization member. Building a Mage of High Sorcery Character Mages of High Sorcery are typically sorcerers, warlocks, or wizards and might have any subclass. Spellcasters who gain their magic through devotion are less likely to be welcomed among the traditionalist mages. Nevertheless, the Mages of High Sorcery are shrewd, and they rarely let unique opportunities or individuals pass them by. Even members of martial classes who train in magic might find a rare place among the group's three orders. Mage of High Sorcery Trinkets When you make your character, roll once on the Mage of High Sorcery Trinkets table instead of on the trinket in the Player's Handbook for your starting trinket."
Marine,GoS,31,"Skill Proficiencies: Athletics, Survival Tool Proficiencies: Vehicles (water, land) Equipment: A dagger that belonged to a fallen comrade, a folded flag emblazoned with the symbol of your ship or company, a set of traveler's clothes, and a belt pouch containing 10 gp Feature: Steady You can move twice the normal amount of time (up to 16 hours) each day before being subject to the effect of a forced march (see ""Travel Pace"" in chapter 8 of the Player's Handbook). Additionally, you can automatically find a safe route to land a boat on shore, provided such a route exists. Hardship Endured Hardship in your past has forged you into an unstoppable living weapon. This hardship is essential to you and is at the heart of a personal philosophy or ethos that often guides your actions. You can roll on the following table to determine this hardship or choose one that best fits your character. Suggested Characteristics Marines are looked up to by other soldiers and respected by their superiors. They are veteran warriors who rarely lose composure on the battlefield. Marines who leave the service tend to work as mercenaries, but their combat experience also makes them excellent adventurers. Though they are self-reliant, marines tend to operate best in groups, valuing camaraderie and the companionship of like-minded individuals."
Mercenary Veteran,SCAG,152,"Skill Proficiencies: Athletics, Persuasion Tool Proficiencies: One type of gaming set, vehicles (land) Equipment: A uniform of your company (traveler's clothes in quality), an insignia of your rank, a gaming set of your choice, and a pouch containing the remainder of your last wages (10 gp). Feature: Mercenary Life You know the mercenary life as only someone who has experienced it can. You are able to identify mercenary companies by their emblems, and you know a little about any such company, including who has hired them recently. You can find the taverns and festhalls where mercenaries abide in any area, as long as you speak the language. You can find mercenary work between adventures sufficient to maintain a comfortable lifestyle (see ""Practicing a Profession"" under ""Downtime Activities"" in chapter 8 of the Player's Handbook). Suggested Characteristics Use the tables for the soldier background in the Player's Handbook as the basis for your traits and motivations, modifying the entries when appropriate to suit your identity as a mercenary. Your bond could be associated with the company you traveled with previously, or with some of the comrades you served with. The ideal you embrace largely depends on your worldview and your motivation for fighting."
Myriad Operative (Criminal),EGW,203,
Noble,PHB,135,"Skill Proficiencies: History, Persuasion Tool Proficiencies: One type of gaming set Languages: One of your choice Equipment: A set of fine clothes, a signet ring, a scroll of pedigree, and a purse containing 25 gp Feature: Position of Privilege Thanks to your noble birth, people are inclined to think the best of you. You are welcome in high society, and people assume you have the right to be wherever you are. The common folk make every effort to accommodate you and avoid your displeasure, and other people of high birth treat you as a member of the same social sphere. You can secure an audience with a local noble if you need to. Suggested Characteristics Nobles are born and raised to a very different lifestyle than most people ever experience, and their personalities reflect that upbringing. A noble title comes with a plethora of bonds—responsibilities to family, to other nobles (including the sovereign), to the people entrusted to the family's care, or even to the title itself. But this responsibility is often a good way to undermine a noble."
Orzhov Representative,GGR,72,"Skill Proficiencies: Intimidation, Religion Languages: Two of your choice Equipment: An Orzhov insignia, a foot-long chain made of ten gold coins, vestments, a set of fine clothes, and a belt pouch containing 1 pp (an Orzhov-minted 10-zino coin) Feature: Leverage You can exert leverage over one or more individuals below you in the guild's hierarchy and demand their help as needs warrant. For example, you can have a message carried across a neighborhood, procure a short carriage ride without paying, or have others clean up a bloody mess you left in an alley. The DM decides if your demands are reasonable and if there are subordinates available to fulfill them. As your status in the guild improves, you gain influence over more people, including ones in greater positions of power. Orzhov Guild Spells Prerequisite: Spellcasting or Pact Magic class feature For you, the spells on the Orzhov Guild Spells table are added to the spell list of your spellcasting class. (If you are a multiclass character with multiple spell lists, these spells are added to all of them.) Your magic tends to manifest as swirling shadows, brilliant light, or sometimes the momentary appearance of shadowy spirit forms. Your spells might draw the blood of your enemies, or even directly touch their souls. Suggested Characteristics Members of the Orzhov Syndicate range from the decadent nobility at the top of the oligarchy to the debt-ridden wretches at the bottom. You fall somewhere between those extremes, so you might behave with the arrogance of the very rich or the humility of the impoverished. Contacts The Orzhov Syndicate operates according to a strict hierarchy built on a network of connections among old, wealthy families. Your family might provide important contacts, while your family's activities in crime, banking, or debt collection could tie you to members of other guilds. Roll twice on the Orzhov Contacts table (for an ally and a rival) and once on the Non-Orzhov Contacts table. How Do I Fit In? The structure of the Orzhov Syndicate means that you are always doing the bidding of someone higher up the ladder than you are. Ultimately, your role in the guild is defined by whatever the people (and spirits) above you decide for you. For most of your career, you can expect to engage in some aspect of the day-to-day criminal operations of the guild. That can mean throwing your weight around to enforce the will of the guild or using religious authority to extort offerings from the people. But it can also mean doing various errands for your superiors, from bearing messages to carrying out assassinations."
Outlander,PHB,136,"Skill Proficiencies: Athletics, Survival Tool Proficiencies: One type of musical instrument Languages: One of your choice Equipment: A staff, a hunting trap, a trophy from an animal you killed, a set of traveler's clothes, and a belt pouch containing 10 gp Feature: Wanderer You have an excellent memory for maps and geography, and you can always recall the general layout of terrain, settlements, and other features around you. In addition, you can find food and fresh water for yourself and up to five other people each day, provided that the land offers berries, small game, water, and so forth. Specialty You've been to strange places and seen things that others cannot begin to fathom. Consider some of the distant lands you have visited, and how they impacted you. You can roll on the following table to determine your occupation during your time in the wild, or choose one that best fits your character. Suggested Characteristics Often considered rude and uncouth among civilized folk, outlanders have little respect for the niceties of life in the cities. The ties of tribe, clan, family, and the natural world of which they are a part are the most important bonds to most outlanders."
Plaintiff,AI,50,"Skill Proficiencies: Medicine, Persuasion Tool Proficiencies: One type of artisan's tools Languages: Any one of your choice Equipment: One set of artisan's tools, fine clothes, 20 gp Feature: Legalese Your experience with your local legal system has given you a firm knowledge of the ins and outs of that system. Even when the law is not on your side, you can use complex terms like ex injuria jus non oritur and cogitationis poenam nemo patitur to frighten people into thinking you know what you're talking about. With common folks who don't know any better, you might be able to intimidate or deceive to get favors or special treatment. Suggested Characteristics Plaintiffs come in many varieties. Some are innocent bystanders who want only fair compensation for their injuries. Others are professional courtroom operatives, going to extreme lengths to appear wronged in pursuit of a large payout."
Planar Philosopher,SatO,8,"Skill Proficiencies: Arcana, the skill associated with your faction (see the Sigil Faction Affinities table) or one skill of your choice Languages: Two of your choice Equipment: A portal key (such as a bag of golden tea leaves or the tooth of a planar beast), a manifesto of your guiding philosophy, a set of common clothes in your faction's style, and a pouch containing 10 gp worth of coins from different worlds and planes Factions of Sigil Twelve factions have risen to prominence in the City of Doors, though many more exist. Your character might belong to one of these groups or another ideological faction, perhaps one of your own creation. The primary factions of Sigil, which are further detailed in chapter 2, adhere to the following philosophies: Athar Deities are frauds and merely channel the might of a true, higher power. Bleak Cabal There is no greater truth to the multiverse. Each being must discover their own meaning. Doomguard Nothing lasts forever. The purpose of everything is to crumble and decay. Fated Everyone makes their own fate and is entitled to whatever they can take and hold. Fraternity of Order All of existence is governed by laws, and power comes from understanding and exploiting them. Hands of Havoc Those who try to impose a single order on the multiverse are doomed to fail. Harmonium The multiverse will be perfect only when everything is acting in harmony, whether it wants to or not. Heralds of Dust Everyone is already dead; the entirety of the multiverse is an afterlife. Undeath holds the key to the next stage of existence. Mercykillers Cold, relentless justice is absolute, and no one is above it. Mind's Eye The multiverse exists to be explored. It shapes us, and we shape it in turn. Society of Sensation Sensation is the proof of existence. By experiencing everything, we can understand the multiverse in all its complexity. Transcendent Order Thought clouds action. To fall in step with the multiverse, one must act on instinct alone. Feature: Conviction You gain the Scion of the Outer Planes feat. In addition, members of your organization provide you free, modest lodging and food at any of their holdings or the homes of other faction members. Suggested Characteristics Adventurers who dedicate themselves to a particular philosophy regarding the multiverse are welcomed among factions that embrace those beliefs. The Planar Philosopher Personality Traits table suggests various traits you might adopt for your character. Building a Planar Philosopher Character Some groups of planar philosophers might prefer certain types of characters, but by and large any character who upholds and furthers the beliefs of such a group is welcome within its ranks. Planar Philosopher Trinkets When you make your character, you can roll once on the Planar Philosopher Trinket table, instead of on the Trinket table in the Player's Handbook, for your starting trinket."
Prismari Student,SCC,32,"Skill Proficiencies: Acrobatics, Performance Tool Proficiencies: One type of musical instrument or artisan's tools Languages: One of your choice Equipment: A Ink (1-ounce bottle), an ink pen, a set of artisan's tools or a musical instrument (one of your choice), a school uniform, and a pouch containing 10 gp Feature: Prismari Initiate You gain the Strixhaven Initiate feat and must choose Prismari within it. In addition, if you have the Spellcasting or Pact Magic feature, the spells on the Prismari Spells table are added to the spell list of your spellcasting class. (If you are a multiclass character with multiple spell lists, these spells are added to all of them.) Consider customizing how your spells look when you cast them. You might wield your Prismari spells with dynamic, gestural movement—as much dance as somatic component. Even a blast of fire in your hands is a sculpted work of art; elemental forces make grand designs as you hurl spells. These forces might linger on your body or in your clothes as decorative elements after your spells are dissipated, as sparks dance in your hair and your touch leaves tracings of frost on whatever you touch. Building a Prismari Character Any class or subclass that wields elemental forces of cold, fire, lightning, and wind can be a good fit in Prismari. Druids and sorcerers are common in Prismari, and wizards who study the Schools of Wizard or Wizard are also well represented. Clerics aren't very common in this school, but some with the Cleric end up here. Beyond the ranks of traditional spellcasters, Prismari students also include monks who follow the Monk. Some acrobatic rogues and fighters (including those who emulate the archetype of the Fighter) also delight in the athleticism of Prismari performance. Suggested Characteristics Though the curriculum of Prismari College attracts many outgoing and driven artists, the school has no shortage of shy scholars and lackadaisical blowhards among its ranks. The Prismari Personality Traits table suggests a variety of traits you might adopt for your character. Prismari Trinkets When you make your character, you may roll once on the Prismari Trinket table, instead of on the trinket in the Player's Handbook, for your starting trinket."
