Name,Source,Page,Ability Scores,Size,Speed,Description
Dwarf (Mountain),PHB,20,Strength +2; Constitution +2,Medium,25 feet,"<strong>Age</strong><br><br>Dwarves mature at the same rate as humans, but they're considered young until they reach the age of 50. On average, they live about 350 years.<br><br><strong>Size</strong><br><br>Dwarves stand between 4 and 5 feet tall and average about 150 pounds. Your size is Medium.<br><br><strong>Speed</strong><br><br>Your speed is not reduced by wearing heavy armor.<br><br><strong>Darkvision</strong><br><br>Accustomed to life underground, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.<br><br><strong>Dwarven Resilience</strong><br><br>You have advantage on saving throws against poison, and you have resistance against poison damage.<br><br><strong>Dwarven Combat Training</strong><br><br>You have proficiency with the battleaxe|phb, handaxe|phb, light hammer|phb, and warhammer|phb.<br><br><strong>Tool Proficiency</strong><br><br>You gain proficiency with the artisan's tools of your choice: Smith's tools|phb, brewer's supplies|phb, or mason's tools|phb.<br><br><strong>Stonecunning</strong><br><br>Whenever you make an Intelligence (History) check related to the origin of stonework, you are considered proficient in the History skill and add double your proficiency bonus to the check, instead of your normal proficiency bonus.<br><br><strong>Languages</strong><br><br>You can speak, read, and write Common and Dwarvish. Dwarvish is full of hard consonants and guttural sounds, and those characteristics spill over into whatever other language a dwarf might speak.<br><br><strong>Dwarven Armor Training</strong><br><br>You have proficiency with light and medium armor."
Dwarf (Wandering),TLotRR,32,Constitution +2; Wisdom +1,Medium,25 feet,"Adventuring Age. Between 50–100 years of age. Dwarves generally start their life on the road in their fifties, and do not usually consider retiring before their nineties. Around that time, many among them choose to dedicate themselves solely to the perfection of their crafts.<br><br>Axes of the Dwarves. You have proficiency with the battle axe, great axe, and mattock.<br><br>Endurance of the Dwarves. Your hit point maximum increases by 1, and it increases by an additional 1 every time you gain a level.<br><br>Make Light of Burdens. Armour doesn't impose disadvantage on your fatigue saving throws, and your carrying capacity (including the weight you can carry before you are encumbered or heavily encumbered, and the weight you can push, drag or lift) is doubled.<br><br>Tool Proficiencies. You have proficiency with the artisan's tools of your choice: jeweler's tools, mason's tools, or smith's tools.<br><br>Languages. You can speak, read and write Westron and Khuzdul, the secret language of the Dwarves.<br><br>Standard of Living: Prosperous. With the fabulous Dragon-hoard of Erebor reclaimed and their kingdom restored, the Dwarves of Durin's Folk are the richest of the seven houses. Starting Gear"
Eladrin,MPMM,13,Choose one of: (a) Choose any +2; choose any other +1 (b) Choose three different +1,Medium,30 feet,"Choose your eladrin's season: autumn, winter, spring, or summer. When finishing a long rest, you can change your season. See the ""Info"" tab for more information.<br><br><strong>Creature Type</strong><br><br>You are a Humanoid. You are also considered an elf for any prerequisite or effect that requires you to be an elf.<br><br><strong>Darkvision</strong><br><br>You can see in dim light within 60 feet of you as if it were bright light and in darkness as if it were dim light. You discern colors in that darkness only as shades of gray.<br><br><strong>Fey Ancestry</strong><br><br>You have advantage on saving throws you make to avoid or end the charmed condition on yourself.<br><br><strong>Fey Step</strong><br><br>As a bonus action, you can magically teleport up to 30 feet to an unoccupied space you can see. You can use this trait a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.<br><br>When you reach 3rd level, your Fey Step gain an additional effect based on your season; if the effect requires a saving throw, the DC equals 8 + your proficiency bonus + your Intelligence, Wisdom, or Charisma modifier (choose when you select this race):<br><br>• {'type': 'item', 'name': 'Autumn', 'entry': 'Immediately after you use your Fey Step, up to two creatures of your choice that you can see within 10 feet of you must succeed on a Wisdom saving throw or be charmed by you for 1 minute, or until you or your companions deal any damage to the creatures.'}<br><br>• {'type': 'item', 'name': 'Winter', 'entry': 'When you use your Fey Step, one creature of your choice that you can see within 5 feet of you before you teleport must succeed on a Wisdom saving throw or be frightened of you until the end of your next turn.'}<br><br>• {'type': 'item', 'name': 'Spring', 'entry': 'When you use your Fey Step, you can touch one willing creature within 5 feet of you. That creature then teleports instead of you, appearing in an unoccupied space of your choice that you can see within 30 feet of you.'}<br><br>• {'type': 'item', 'name': 'Summer', 'entry': 'Immediately after you use your Fey Step, each creature of your choice that you can see within 5 feet of you takes fire damage equal to your proficiency bonus.'}<br><br><strong>Keen Senses</strong><br><br>You have proficiency in the Perception skill.<br><br><strong>Trance</strong><br><br>You don't need to sleep, and magic can't put you to sleep. You can finish a long rest in 4 hours if you spend those hours in a trancelike meditation, during which you retain consciousness.<br><br>Whenever you finish this trance, you can change your season, and you can gain two proficiencies that you don't have, each one with a weapon or a tool of your choice selected from the Player's Handbook. You mystically acquire these proficiencies by drawing them from shared elven memory, and you retain them until you finish your next long rest."
Elf,PHB,21,Dexterity +2,Medium,30 feet,"<strong>Age</strong><br><br>Although elves reach physical maturity at about the same age as humans, the elven understanding of adulthood goes beyond physical growth to encompass worldly experience. An elf typically claims adulthood and an adult name around the age of 100 and can live to be 750 years old.<br><br><strong>Size</strong><br><br>Elves range from under 5 to over 6 feet tall and have slender builds. Your size is Medium.<br><br><strong>Darkvision</strong><br><br>Accustomed to twilit forests and the night sky, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.<br><br><strong>Keen Senses</strong><br><br>You have proficiency in the Perception skill.<br><br><strong>Fey Ancestry</strong><br><br>You have advantage on saving throws against being charmed, and magic can't put you to sleep.<br><br><strong>Trance</strong><br><br>Elves don't need to sleep. Instead, they meditate deeply, remaining semiconscious, for 4 hours a day. (The Common word for such meditation is ""trance."") While meditating, you can dream after a fashion; such dreams are actually mental exercises that have become reflexive through years of practice. After resting in this way, you gain the same benefit that a human does from 8 hours of sleep.<br><br>If you meditate during a long rest, you finish the rest after only 4 hours. You otherwise obey all the rules for a long rest; only the duration is changed.<br><br><strong>Languages</strong><br><br>You can speak, read, and write Common and Elvish. Elvish is fluid, with subtle intonations and intricate grammar. Elven literature is rich and varied, and their songs and poems are famous among other races. Many bards learn their language so they can add Elvish ballads to their repertoires."
Elf,ObojimaTallGrass,128,Choose any +2; choose any other +1,Medium,30 feet,"Ability Score Increase. One ability score of your choice increases by 2, and another ability score of your choice increases by 1.<br><br>Age. Elves reach adulthood in their late teens and live less than a century.<br><br>Size. Elves vary in height, which ranges from 5 feet to well over 6 feet tall. Regardless of your position in that range, your size is Medium.<br><br>Speed. Your base walking speed is 30 feet.<br><br>Languages. You can speak, read, and write Common.<br><br>Darkvision. Thanks to your supernatural gifts, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.<br><br>Ethereal Sight. Your ocular prowess doesn't stop at darkvision. Additionally, you can use an action to shift your sight into the ethereal, allowing you to see creatures on the Spirit Realm, which appear as glowing outlines of themselves. This effect lasts for 1 hour. You can use this trait a number of times equal to your proficiency bonus, and you regain all expended uses of it when you finish a long rest.<br><br>Languages. You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character."
Elf,TLotRR,34,Wisdom +2,Medium,30 feet,"Adventuring Age. Between 100–500 years of age. Elves may leave their homes at any time after they reach adulthood (at about a century of age). Adventurers older than 300 years are rare, as in time all Elves find the sea-longing that lies deep within their hearts to become irresistible.<br><br>Size. Elves have slender builds and are taller than most Men, standing well over 6 feet tall. Your size is Medium.<br><br>Elvish Dreams. Elves don't need to sleep. Instead, they meditate deeply, remaining semiconscious, for 4 hours a day. While meditating, you can dream after a fashion; such dreams are actually mental exercises that have become reflexive through years of practice. After resting in this way, you gain the same benefit as from 8 hours of sleep.<br><br>Elven-Skill. By virtue of their birthright, Elves are capable of reaching levels of finesse unattainable by mortals. If you are not miserable and make an ability check that lets you add your proficiency bonus, you can obtain a magical success. You can do so a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.<br><br>Immortal Folk. You are immune to ageing and disease.<br><br>Keen Eyes of the Elves. You have proficiency in the Perception skill, and dim light doesn't impose disadvantage on your Wisdom (Perception) checks relying on sight.<br><br>Languages. You can speak, read, and write Westron and Sindarin, the Grey-elven tongue.<br><br>Backgrounds. Players choosing a background receive a brief personal history, two skill proficiencies, a tool proficiency and two distinctive features:The Call of the SeaMaker of ShipsA Merchant FamilySky-WatcherTower GuardVisitor to the Mountains"
Elf (Courage),ObojimaTallGrass,128,Choose any +2; choose any other +1,Medium,30 feet,"Ability Score Increase. One ability score of your choice increases by 2, and another ability score of your choice increases by 1.<br><br>Age. Elves reach adulthood in their late teens and live less than a century.<br><br>Size. Elves vary in height, which ranges from 5 feet to well over 6 feet tall. Regardless of your position in that range, your size is Medium.<br><br>Speed. Your base walking speed is 30 feet.<br><br>Languages. You can speak, read, and write Common.<br><br>Darkvision. Thanks to your supernatural gifts, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.<br><br>Ethereal Sight. Your ocular prowess doesn't stop at darkvision. Additionally, you can use an action to shift your sight into the ethereal, allowing you to see creatures on the Spirit Realm, which appear as glowing outlines of themselves. This effect lasts for 1 hour. You can use this trait a number of times equal to your proficiency bonus, and you regain all expended uses of it when you finish a long rest.<br><br>Languages. You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character.<br><br>Oaka Birthmark (Courage). You know the Resistance cantrip and can cast it without requiring material components. When you reach 3rd level, you can cast Heroism as a 2nd-level spell once with this trait, and you regain the ability to do so when you finish a long rest. Charisma is your spellcasting ability for these spells."
Elf (Drow),PHB,24,Dexterity +2; Charisma +1,Medium,30 feet,"<strong>Age</strong><br><br>Although elves reach physical maturity at about the same age as humans, the elven understanding of adulthood goes beyond physical growth to encompass worldly experience. An elf typically claims adulthood and an adult name around the age of 100 and can live to be 750 years old.<br><br><strong>Size</strong><br><br>Elves range from under 5 to over 6 feet tall and have slender builds. Your size is Medium.<br><br><strong>Darkvision</strong><br><br>Accustomed to twilit forests and the night sky, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.<br><br><strong>Keen Senses</strong><br><br>You have proficiency in the Perception skill.<br><br><strong>Fey Ancestry</strong><br><br>You have advantage on saving throws against being charmed, and magic can't put you to sleep.<br><br><strong>Trance</strong><br><br>Elves don't need to sleep. Instead, they meditate deeply, remaining semiconscious, for 4 hours a day. (The Common word for such meditation is ""trance."") While meditating, you can dream after a fashion; such dreams are actually mental exercises that have become reflexive through years of practice. After resting in this way, you gain the same benefit that a human does from 8 hours of sleep.<br><br>If you meditate during a long rest, you finish the rest after only 4 hours. You otherwise obey all the rules for a long rest; only the duration is changed.<br><br><strong>Languages</strong><br><br>You can speak, read, and write Common and Elvish. Elvish is fluid, with subtle intonations and intricate grammar. Elven literature is rich and varied, and their songs and poems are famous among other races. Many bards learn their language so they can add Elvish ballads to their repertoires.<br><br><strong>Superior Darkvision</strong><br><br>Accustomed to the depths of the Underdark, you have superior vision in dark and dim conditions. You can see in dim light within 120 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.<br><br><strong>Sunlight Sensitivity</strong><br><br>You have disadvantage on attack rolls and on Wisdom (Perception) checks that rely on sight when you, the target of your attack, or whatever you are trying to perceive is in direct sunlight.<br><br><strong>Drow Magic</strong><br><br>You know the dancing lights cantrip. When you reach 3rd level, you can cast the faerie fire spell once with this trait; you regain the ability to cast it when you finish a long rest. When you reach 5th level, you can also cast the darkness spell once per day with this trait; you regain the ability to cast it when you finish a long rest. Charisma is your spellcasting ability for these spells.<br><br><strong>Drow Weapon Training</strong><br><br>You have proficiency with rapier|phb|rapiers, shortsword|phb|shortswords, and hand crossbow|phb|hand crossbows."
Elf (Eladrin),DMG,286,Dexterity +2; Intelligence +1,Medium,30 feet,"<strong>Age</strong><br><br>Although elves reach physical maturity at about the same age as humans, the elven understanding of adulthood goes beyond physical growth to encompass worldly experience. An elf typically claims adulthood and an adult name around the age of 100 and can live to be 750 years old.<br><br><strong>Size</strong><br><br>Elves range from under 5 to over 6 feet tall and have slender builds. Your size is Medium.<br><br><strong>Darkvision</strong><br><br>Accustomed to twilit forests and the night sky, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.<br><br><strong>Keen Senses</strong><br><br>You have proficiency in the Perception skill.<br><br><strong>Fey Ancestry</strong><br><br>You have advantage on saving throws against being charmed, and magic can't put you to sleep.<br><br><strong>Trance</strong><br><br>Elves don't need to sleep. Instead, they meditate deeply, remaining semiconscious, for 4 hours a day. (The Common word for such meditation is ""trance."") While meditating, you can dream after a fashion; such dreams are actually mental exercises that have become reflexive through years of practice. After resting in this way, you gain the same benefit that a human does from 8 hours of sleep.<br><br>If you meditate during a long rest, you finish the rest after only 4 hours. You otherwise obey all the rules for a long rest; only the duration is changed.<br><br><strong>Languages</strong><br><br>You can speak, read, and write Common and Elvish. Elvish is fluid, with subtle intonations and intricate grammar. Elven literature is rich and varied, and their songs and poems are famous among other races. Many bards learn their language so they can add Elvish ballads to their repertoires.<br><br><strong>Elf Weapon Training</strong><br><br>You have proficiency with the longsword|phb, shortsword|phb, shortbow|phb, and longbow|phb.<br><br><strong>Fey Step</strong><br><br>You can cast the misty step spell once using this trait. You regain the ability to do so when you finish a short or long rest."
Elf (Eladrin),MTF,61,Dexterity +2; Charisma +1,Medium,30 feet,"<strong>Age</strong><br><br>Although elves reach physical maturity at about the same age as humans, the elven understanding of adulthood goes beyond physical growth to encompass worldly experience. An elf typically claims adulthood and an adult name around the age of 100 and can live to be 750 years old.<br><br><strong>Size</strong><br><br>Elves range from under 5 to over 6 feet tall and have slender builds. Your size is Medium.<br><br><strong>Darkvision</strong><br><br>Accustomed to twilit forests and the night sky, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.<br><br><strong>Keen Senses</strong><br><br>You have proficiency in the Perception skill.<br><br><strong>Fey Ancestry</strong><br><br>You have advantage on saving throws against being charmed, and magic can't put you to sleep.<br><br><strong>Trance</strong><br><br>Elves don't need to sleep. Instead, they meditate deeply, remaining semiconscious, for 4 hours a day. (The Common word for such meditation is ""trance."") While meditating, you can dream after a fashion; such dreams are actually mental exercises that have become reflexive through years of practice. After resting in this way, you gain the same benefit that a human does from 8 hours of sleep.<br><br>If you meditate during a long rest, you finish the rest after only 4 hours. You otherwise obey all the rules for a long rest; only the duration is changed.<br><br><strong>Languages</strong><br><br>You can speak, read, and write Common and Elvish. Elvish is fluid, with subtle intonations and intricate grammar. Elven literature is rich and varied, and their songs and poems are famous among other races. Many bards learn their language so they can add Elvish ballads to their repertoires.<br><br>Choose your eladrin's season: autumn, winter, spring, or summer. When finishing a long rest, you can change your season. See the ""Info"" tab for more information.<br><br><strong>Fey Step</strong><br><br>As a bonus action, you can magically teleport up to 30 feet to an unoccupied space you can see. Once you use this trait, you can't do so again until you finish a short or long rest.<br><br>When you reach 3rd level, your Fey Step gains an additional effect based on your season; if the effect requires a saving throw, the DC equals 8 + your proficiency bonus + your Charisma modifier:<br><br>• {'type': 'item', 'name': 'Autumn', 'entry': 'Immediately after you use your Fey Step, up to two creatures of your choice that you can see within 10 feet of you must succeed on a Wisdom saving throw or be charmed by you for 1 minute, or until you or your companions deal any damage to it.'}<br><br>• {'type': 'item', 'name': 'Winter', 'entry': 'When you use your Fey Step, one creature of your choice that you can see within 5 feet of you before you teleport must succeed on a Wisdom saving throw or be frightened of you until the end of your next turn.'}<br><br>• {'type': 'item', 'name': 'Spring', 'entry': 'When you use your Fey Step, you can touch one willing creature within 5 feet of you. That creature then teleports instead of you, appearing in an unoccupied space of your choice that you can see within 30 feet of you.'}<br><br>• {'type': 'item', 'name': 'Summer', 'entry': 'Immediately after you use your Fey Step, each creature of your choice that you can see within 5 feet of you takes fire damage equal to your Charisma modifier (minimum of 1 damage).'}"
Elf (Fury),ObojimaTallGrass,128,Choose any +2; choose any other +1,Medium,30 feet,"Ability Score Increase. One ability score of your choice increases by 2, and another ability score of your choice increases by 1.<br><br>Age. Elves reach adulthood in their late teens and live less than a century.<br><br>Size. Elves vary in height, which ranges from 5 feet to well over 6 feet tall. Regardless of your position in that range, your size is Medium.<br><br>Speed. Your base walking speed is 30 feet.<br><br>Languages. You can speak, read, and write Common.<br><br>Darkvision. Thanks to your supernatural gifts, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.<br><br>Ethereal Sight. Your ocular prowess doesn't stop at darkvision. Additionally, you can use an action to shift your sight into the ethereal, allowing you to see creatures on the Spirit Realm, which appear as glowing outlines of themselves. This effect lasts for 1 hour. You can use this trait a number of times equal to your proficiency bonus, and you regain all expended uses of it when you finish a long rest.<br><br>Languages. You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character.<br><br>Oaka Birthmark (Fury). You know the Sacred Flame cantrip. When you reach 3rd level, you can cast Shatter once with this trait, requiring no material components, and you regain the ability to do so when you finish a long rest. Charisma is your spellcasting ability for these spells."
Elf (Harmony),ObojimaTallGrass,128,Choose any +2; choose any other +1,Medium,30 feet,"Ability Score Increase. One ability score of your choice increases by 2, and another ability score of your choice increases by 1.<br><br>Age. Elves reach adulthood in their late teens and live less than a century.<br><br>Size. Elves vary in height, which ranges from 5 feet to well over 6 feet tall. Regardless of your position in that range, your size is Medium.<br><br>Speed. Your base walking speed is 30 feet.<br><br>Languages. You can speak, read, and write Common.<br><br>Darkvision. Thanks to your supernatural gifts, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.<br><br>Ethereal Sight. Your ocular prowess doesn't stop at darkvision. Additionally, you can use an action to shift your sight into the ethereal, allowing you to see creatures on the Spirit Realm, which appear as glowing outlines of themselves. This effect lasts for 1 hour. You can use this trait a number of times equal to your proficiency bonus, and you regain all expended uses of it when you finish a long rest.<br><br>Languages. You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character.<br><br>Oaka Birthmark (Harmony). You know the Guidance cantrip. When you reach 3rd level, you can cast Calm Emotions once with this trait, and you regain the ability to do so when you finish a long rest. Charisma is your spellcasting ability for these spells."
Elf (High),PHB,23,Dexterity +2; Intelligence +1,Medium,30 feet,"<strong>Age</strong><br><br>Although elves reach physical maturity at about the same age as humans, the elven understanding of adulthood goes beyond physical growth to encompass worldly experience. An elf typically claims adulthood and an adult name around the age of 100 and can live to be 750 years old.<br><br><strong>Size</strong><br><br>Elves range from under 5 to over 6 feet tall and have slender builds. Your size is Medium.<br><br><strong>Darkvision</strong><br><br>Accustomed to twilit forests and the night sky, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.<br><br><strong>Keen Senses</strong><br><br>You have proficiency in the Perception skill.<br><br><strong>Fey Ancestry</strong><br><br>You have advantage on saving throws against being charmed, and magic can't put you to sleep.<br><br><strong>Trance</strong><br><br>Elves don't need to sleep. Instead, they meditate deeply, remaining semiconscious, for 4 hours a day. (The Common word for such meditation is ""trance."") While meditating, you can dream after a fashion; such dreams are actually mental exercises that have become reflexive through years of practice. After resting in this way, you gain the same benefit that a human does from 8 hours of sleep.<br><br>If you meditate during a long rest, you finish the rest after only 4 hours. You otherwise obey all the rules for a long rest; only the duration is changed.<br><br><strong>Languages</strong><br><br>You can speak, read, and write Common and Elvish. Elvish is fluid, with subtle intonations and intricate grammar. Elven literature is rich and varied, and their songs and poems are famous among other races. Many bards learn their language so they can add Elvish ballads to their repertoires.<br><br><strong>Elf Weapon Training</strong><br><br>You have proficiency with the longsword|phb, shortsword|phb, shortbow|phb, and longbow|phb.<br><br><strong>Cantrip</strong><br><br>You know one cantrip of your choice from the wizard spell list. Intelligence is your spellcasting ability for it.<br><br><strong>Extra Language</strong><br><br>You can speak, read, and write one extra language of your choosing."
Elf (Lindon),TLotRR,35,Wisdom +2; Dexterity +1; Intelligence +1,Medium,30 feet,"Adventuring Age. Between 100–500 years of age. Elves may leave their homes at any time after they reach adulthood (at about a century of age). Adventurers older than 300 years are rare, as in time all Elves find the sea-longing that lies deep within their hearts to become irresistible.<br><br>Size. Elves have slender builds and are taller than most Men, standing well over 6 feet tall. Your size is Medium.<br><br>Elvish Dreams. Elves don't need to sleep. Instead, they meditate deeply, remaining semiconscious, for 4 hours a day. While meditating, you can dream after a fashion; such dreams are actually mental exercises that have become reflexive through years of practice. After resting in this way, you gain the same benefit as from 8 hours of sleep.<br><br>Elven-Skill. By virtue of their birthright, Elves are capable of reaching levels of finesse unattainable by mortals. If you are not miserable and make an ability check that lets you add your proficiency bonus, you can obtain a magical success. You can do so a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.<br><br>Immortal Folk. You are immune to ageing and disease.<br><br>Keen Eyes of the Elves. You have proficiency in the Perception skill, and dim light doesn't impose disadvantage on your Wisdom (Perception) checks relying on sight.<br><br>Languages. You can speak, read, and write Westron and Sindarin, the Grey-elven tongue.<br><br>Backgrounds. Players choosing a background receive a brief personal history, two skill proficiencies, a tool proficiency and two distinctive features:The Call of the SeaMaker of ShipsA Merchant FamilySky-WatcherTower GuardVisitor to the Mountains<br><br>Elven-Lore. You have proficiency in one of the following skills of your choice: Nature, Old Lore, or Performance.<br><br>Shipwrights and Singers. You have proficiency with the tools of your choice: carpenter's tools, water vehicles, or a musical instrument of your choice.<br><br>Standard of Living: Frugal. The Fair Folk of Eriador live in harmony with Middle-earth and have little or no use for those things that others consider precious. They lack nothing, and craft beautiful things using the richest materials, but they don't profit from their wealth the way other folks do. Starting Gear"
Elf (Lunar),BookOfEbonTides,21,Dexterity +2; Wisdom +1,Medium,30 feet,"Age. Although elves reach physical maturity at about the same age as humans, the elven understanding of adulthood goes beyond physical growth to encompass worldly experience. An elf typically claims adulthood and an adult name around the age of 100 and can live to be 750 years old.<br><br>Size. Elves range from under 5 to over 6 feet tall and have slender builds. Your size is Medium.<br><br>Darkvision. Accustomed to twilit forests and the night sky, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.<br><br>Keen Senses. You have proficiency in the Perception skill.<br><br>Fey Ancestry. You have advantage on saving throws against being charmed, and magic can't put you to sleep.<br><br>Trance. Elves don't need to sleep. Instead, they meditate deeply, remaining semiconscious, for 4 hours a day. (The Common word for such meditation is ""trance."") While meditating, you can dream after a fashion; such dreams are actually mental exercises that have become reflexive through years of practice. After resting in this way, you gain the same benefit that a human does from 8 hours of sleep.If you meditate during a long rest, you finish the rest after only 4 hours. You otherwise obey all the rules for a long rest; only the duration is changed.<br><br>Languages. You can speak, read, and write Common and Elvish. Elvish is fluid, with subtle intonations and intricate grammar. Elven literature is rich and varied, and their songs and poems are famous among other races. Many bards learn their language so they can add Elvish ballads to their repertoires.<br><br>Alignment. Although they have a malevolent reputation, the shadow fey are not inherently evil. They tend toward chaotic neutral, though every variation exists.<br><br>Luminous. You emit bright light in a 15-foot radius and dim light for an additional 15 feet. You can choose to suppress this effect to only dim light in a 15-foot radius, to suppress it completely, or to activate it at any time without expending an action. (This effect has a level equal to your proficiency bonus, and if any of its area overlaps with an area of darkness created by a spell of the same level or lower, the spell that created the darkness is dispelled.)<br><br>Moon Child. When in darkness, dim light, or a shadow large enough to cover your body, you can cast the moonbeam spell. You can use this ability a number of times per day equal to your Wisdom modifier (minimum 1), and you regain all expended uses when you finish a long rest. Wisdom is your spellcasting ability for this spell.<br><br>Shadow Fey Weapon Training. You have proficiency with the rapier, shortsword, shortbow, and longbow.<br><br>Sunlight Sensitivity. You have disadvantage on attack rolls and on Wisdom (Perception) checks that rely on sight when you, the target of your attack, or whatever you are trying to perceive is in sunlight.<br><br>Language. You can speak, read, and write Elvish and Umbral."
Elf (Mark of Shadow),ERLW,49,Dexterity +2; Charisma +1,Medium,30 feet,"<strong>Age</strong><br><br>Although elves reach physical maturity at about the same age as humans, the elven understanding of adulthood goes beyond physical growth to encompass worldly experience. An elf typically claims adulthood and an adult name around the age of 100 and can live to be 750 years old.<br><br><strong>Size</strong><br><br>Elves range from under 5 to over 6 feet tall and have slender builds. Your size is Medium.<br><br><strong>Darkvision</strong><br><br>Accustomed to twilit forests and the night sky, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.<br><br><strong>Keen Senses</strong><br><br>You have proficiency in the Perception skill.<br><br><strong>Fey Ancestry</strong><br><br>You have advantage on saving throws against being charmed, and magic can't put you to sleep.<br><br><strong>Trance</strong><br><br>Elves don't need to sleep. Instead, they meditate deeply, remaining semiconscious, for 4 hours a day. (The Common word for such meditation is ""trance."") While meditating, you can dream after a fashion; such dreams are actually mental exercises that have become reflexive through years of practice. After resting in this way, you gain the same benefit that a human does from 8 hours of sleep.<br><br>If you meditate during a long rest, you finish the rest after only 4 hours. You otherwise obey all the rules for a long rest; only the duration is changed.<br><br><strong>Languages</strong><br><br>You can speak, read, and write Common and Elvish. Elvish is fluid, with subtle intonations and intricate grammar. Elven literature is rich and varied, and their songs and poems are famous among other races. Many bards learn their language so they can add Elvish ballads to their repertoires.<br><br><strong>Cunning Intuition</strong><br><br>When you make a Charisma (Performance) or Dexterity (Stealth) check, you can roll a d4 and add the number rolled to the ability check.<br><br><strong>Shape Shadows</strong><br><br>You know the minor illusion cantrip. Starting at 3rd level, you can cast the invisibility spell once with this trait, and you regain the ability to cast it when you finish a long rest. Charisma is your spellcasting ability for these spells.<br><br><strong>Spells of the Mark</strong><br><br>If you have the Spellcasting or the Pact Magic class feature, the spells on the Mark of Shadow Spells table are added to the spell list of your spellcasting class.<br><br><table border=""1"" cellpadding=""5"" cellspacing=""0""><caption>Mark of Shadow Spells</caption><tr><th>Spell Level</th><th>Spells</th></tr><tr><td>1st</td><td>disguise self, silent image</td></tr><tr><td>2nd</td><td>darkness, pass without trace</td></tr><tr><td>3rd</td><td>clairvoyance, major image</td></tr><tr><td>4th</td><td>greater invisibility, hallucinatory terrain</td></tr><tr><td>5th</td><td>mislead</td></tr></table>"
Elf (Nature),ObojimaTallGrass,128,Choose any +2; choose any other +1,Medium,30 feet,"Ability Score Increase. One ability score of your choice increases by 2, and another ability score of your choice increases by 1.<br><br>Age. Elves reach adulthood in their late teens and live less than a century.<br><br>Size. Elves vary in height, which ranges from 5 feet to well over 6 feet tall. Regardless of your position in that range, your size is Medium.<br><br>Speed. Your base walking speed is 30 feet.<br><br>Languages. You can speak, read, and write Common.<br><br>Darkvision. Thanks to your supernatural gifts, you have superior vision in dark and dim conditions. You can see in dim light within 60 feet of you as if it were bright light, and in darkness as if it were dim light. You can't discern color in darkness, only shades of gray.<br><br>Ethereal Sight. Your ocular prowess doesn't stop at darkvision. Additionally, you can use an action to shift your sight into the ethereal, allowing you to see creatures on the Spirit Realm, which appear as glowing outlines of themselves. This effect lasts for 1 hour. You can use this trait a number of times equal to your proficiency bonus, and you regain all expended uses of it when you finish a long rest.<br><br>Languages. You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character.<br><br>Oaka Birthmark (Nature). You know the Dancing Lights cantrip and can cast it without requiring material components. When you reach 3rd level, you can cast Animal Messenger once with this trait, requiring no material components, and you regain the ability to do so when you finish a long rest. Charisma is your spellcasting ability for these spells."
